ElectionDate	PartyCode	PartyName	RaceCode	OfficeDesc	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/6/2018	REP	Republican	USS	United States Senator	ALA	Alachua			63	63	Scott	Rick		40599
11/6/2018	REP	Republican	USS	United States Senator	BAK	Baker			9	9	Scott	Rick		8579
11/6/2018	REP	Republican	USS	United States Senator	BAY	Bay			44	44	Scott	Rick		46681
11/6/2018	REP	Republican	USS	United States Senator	BRA	Bradford			14	14	Scott	Rick		7576
11/6/2018	REP	Republican	USS	United States Senator	BRE	Brevard			174	174	Scott	Rick		160305
11/6/2018	REP	Republican	USS	United States Senator	BRO	Broward			577	577	Scott	Rick		211397
11/6/2018	REP	Republican	USS	United States Senator	CAL	Calhoun			11	11	Scott	Rick		3586
11/6/2018	REP	Republican	USS	United States Senator	CHA	Charlotte			67	67	Scott	Rick		52916
11/6/2018	REP	Republican	USS	United States Senator	CIT	Citrus			31	31	Scott	Rick		48008
11/6/2018	REP	Republican	USS	United States Senator	CLA	Clay			47	47	Scott	Rick		65639
11/6/2018	REP	Republican	USS	United States Senator	CLL	Collier			59	59	Scott	Rick		101266
11/6/2018	REP	Republican	USS	United States Senator	CLM	Columbia			22	22	Scott	Rick		17234
11/6/2018	REP	Republican	USS	United States Senator	DES	Desoto			15	15	Scott	Rick		5503
11/6/2018	REP	Republican	USS	United States Senator	DIX	Dixie			10	10	Scott	Rick		4442
11/6/2018	REP	Republican	USS	United States Senator	DUV	Duval			199	199	Scott	Rick		185904
11/6/2018	REP	Republican	USS	United States Senator	ESC	Escambia			79	79	Scott	Rick		75947
11/6/2018	REP	Republican	USS	United States Senator	FLA	Flagler			26	26	Scott	Rick		31467
11/6/2018	REP	Republican	USS	United States Senator	FRA	Franklin			8	8	Scott	Rick		3404
11/6/2018	REP	Republican	USS	United States Senator	GAD	Gadsden			25	25	Scott	Rick		6051
11/6/2018	REP	Republican	USS	United States Senator	GIL	Gilchrist			10	10	Scott	Rick		5703
11/6/2018	REP	Republican	USS	United States Senator	GLA	Glades			13	13	Scott	Rick		2666
11/6/2018	REP	Republican	USS	United States Senator	GUL	Gulf			10	10	Scott	Rick		4321
11/6/2018	REP	Republican	USS	United States Senator	HAM	Hamilton			8	8	Scott	Rick		2856
11/6/2018	REP	Republican	USS	United States Senator	HAR	Hardee			12	12	Scott	Rick		4455
11/6/2018	REP	Republican	USS	United States Senator	HEN	Hendry			10	10	Scott	Rick		5304
11/6/2018	REP	Republican	USS	United States Senator	HER	Hernando			32	32	Scott	Rick		49501
11/6/2018	REP	Republican	USS	United States Senator	HIG	Highlands			25	25	Scott	Rick		26282
11/6/2018	REP	Republican	USS	United States Senator	HIL	Hillsborough			390	390	Scott	Rick		239641
11/6/2018	REP	Republican	USS	United States Senator	HOL	Holmes			8	8	Scott	Rick		5919
11/6/2018	REP	Republican	USS	United States Senator	IND	Indian River			36	36	Scott	Rick		44798
