ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	ESC	Escambia	001	 	80	80	Gaetz	Matt		29272
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	HOL	Holmes	001	 	6	6	Gaetz	Matt		2131
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	OKA	Okaloosa	001	 	52	52	Gaetz	Matt		25861
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	SAN	Santa Rosa	001	 	41	41	Gaetz	Matt		21536
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	WAL	Walton	001	 	21	21	Gaetz	Matt		8657
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	ESC	Escambia	001	 	80	80	Merk	Greg		4240
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	HOL	Holmes	001	 	6	6	Merk	Greg		157
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	OKA	Okaloosa	001	 	52	52	Merk	Greg		2385
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	SAN	Santa Rosa	001	 	41	41	Merk	Greg		2696
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	WAL	Walton	001	 	21	21	Merk	Greg		749
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	ESC	Escambia	001	 	80	80	Mills	John		3477
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	HOL	Holmes	001	 	6	6	Mills	John		260
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	OKA	Okaloosa	001	 	52	52	Mills	John		3110
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	SAN	Santa Rosa	001	 	41	41	Mills	John		2454
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 1	WAL	Walton	001	 	21	21	Mills	John		1082
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	ALA	Alachua	003	 	63	63	Cammack	Kat		4519
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	BRA	Bradford	003	 	14	14	Cammack	Kat		1441
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	CLA	Clay	003	 	47	47	Cammack	Kat		8482
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	MRN	Marion	003	 	51	51	Cammack	Kat		3892
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	PUT	Putnam	003	 	35	35	Cammack	Kat		2564
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	UNI	Union	003	 	8	8	Cammack	Kat		781
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	ALA	Alachua	003	 	63	63	Chamberlin	Ryan	D.	538
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	BRA	Bradford	003	 	14	14	Chamberlin	Ryan	D.	95
08/18/2020	REP	Republican Party	USR	Representative in Congress, District 3	CLA	Clay	003	 	47	47	Chamberlin	Ryan	D.	1399
