




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Appling                       10613                         6827                          64.33%
Atkinson                      4252                          2527                          59.43%
Bacon                         6010                          3836                          63.83%
Baker                         2232                          1297                          58.11%
Baldwin                       23399                         15690                         67.05%
Banks                         10807                         6867                          63.54%
Barrow                        47514                         27459                         57.79%
Bartow                        64074                         37441                         58.43%
Ben Hill                      9258                          5565                          60.11%
Berrien                       10247                         6265                          61.14%
Bibb                          99934                         60867                         60.91%
Bleckley                      6944                          4872                          70.16%
Brantley                      9984                          5711                          57.20%
Brooks                        9911                          5749                          58.01%
Bryan                         25712                         15019                         58.41%
Bulloch                       39983                         23746                         59.39%
Burke                         14449                         8758                          60.61%
Butts                         15280                         8892                          58.19%
Calhoun                       2982                          1912                          64.12%
Camden                        31632                         17119                         54.12%
Candler                       5572                          3549                          63.69%
Carroll                       72908                         41959                         57.55%
Catoosa                       40513                         23836                         58.84%
Charlton                      6072                          3391                          55.85%
Chatham                       188315                        103841                        55.14%
Chattahoochee                 3132                          1107                          35.34%
Chattooga                     11099                         7464                          67.25%
Cherokee                      165612                        106632                        64.39%
Clarke                        70597                         43450                         61.55%
Clay                          1856                          1191                          64.17%
Clayton                       169574                        92403                         54.49%
Clinch                        3884                          2268                          58.39%
Cobb                          486696                        312488                        64.21%
Coffee                        21900                         12669                         57.85%
Colquitt                      21948                         13001                         59.24%
Columbia                      95779                         61779                         64.50%
Cook                          9423                          5816                          61.72%
Coweta                        91585                         58194                         63.54%
Crawford                      7459                          4953                          66.40%
Crisp                         11674                         7082                          60.66%
Dade                          10496                         5478                          52.19%
Dawson                        18278                         11606                         63.50%
Decatur                       15201                         9172                          60.34%
DeKalb                        494731                        313552                        63.38%
Dodge                         11055                         7079                          64.03%
Dooly                         5669                          3811                          67.23%
Dougherty                     57817                         31537                         54.55%
Douglas                       89305                         55358                         61.99%
Early                         6992                          4159                          59.48%
Echols                        1929                          1146                          59.41%
Effingham                     38132                         23426                         61.43%
Elbert                        11123                         7418                          66.69%
Emanuel                       12343                         7751                          62.80%
Evans                         5569                          3461                          62.15%
Fannin                        17200                         11250                         65.41%
Fayette                       83763                         58118                         69.38%
Floyd                         52469                         30440                         58.02%
Forsyth                       143680                        93526                         65.09%
Franklin                      13069                         8171                          62.52%
Fulton                        703177                        425139                        60.46%
Gilmer                        19069                         12554                         65.83%
