"Precinct_Name","Split_Name","precinct_splitId","Reg_voters","Ballots","Reporting","Contest_id","Contest_title","Contest_party","Choice_id","Candidate_name","Choice_party","Candidate_Type","Absentee_votes","Early_votes","Election_Votes"
"01-01","","1","3052","2079","1","1","President and Vice President","","1","(C) BLANKENSHIP / MOHR","","C","0","0","7"
"01-01","","1","3052","2079","1","1","President and Vice President","","2","(D) BIDEN / HARRIS","","C","0","26","1389"
"01-01","","1","3052","2079","1","1","President and Vice President","","3","(G) HAWKINS / WALKER","","C","0","0","21"
"01-01","","1","3052","2079","1","1","President and Vice President","","4","(L) JORGENSEN / COHEN","","C","0","3","18"
"01-01","","1","3052","2079","1","1","President and Vice President","","5","(R) TRUMP / PENCE","","C","0","38","544"
"01-01","","1","3052","2079","1","1","President and Vice President","","6","(AS) PIERCE / BALLARD","","C","0","0","4"
"01-01","","1","3052","2079","1","3","U.S. Representative, Dist II","","9","(R) AKANA, Joe","","C","0","32","394"
"01-01","","1","3052","2079","1","3","U.S. Representative, Dist II","","10","(N) BURRUS, Ron","","C","0","2","17"
"01-01","","1","3052","2079","1","3","U.S. Representative, Dist II","","11","(AS) GIUFFRE, John (Raghu)","","C","0","0","5"
"01-01","","1","3052","2079","1","3","U.S. Representative, Dist II","","12","(A) HOOMANAWANUI, Jonathan","","C","0","1","37"
"01-01","","1","3052","2079","1","3","U.S. Representative, Dist II","","13","(D) KAHELE, Kaiali'i (Kai)","","C","0","22","1357"
"01-01","","1","3052","2079","1","3","U.S. Representative, Dist II","","14","(L) TIPPENS, Michelle Rose","","C","0","5","56"
"01-01","","1","3052","2079","1","12","State Representative, Dist 1","","32","(D) NAKASHIMA, Mark M.","","C","0","22","1462"
"01-01","","1","3052","2079","1","12","State Representative, Dist 1","","33","(R) SHIN, Lorraine Pualani","","C","0","37","455"
"01-01","","1","3052","2079","1","46","Hawaii Resident Trustee","","109","LINDSEY, Keola","","C","0","32","781"
"01-01","","1","3052","2079","1","46","Hawaii Resident Trustee","","110","MANGAUIL, Lanakila","","C","0","19","981"
"01-01","","1","3052","2079","1","47","Molokai Resident Trustee","","111","ALAPA, Luana","","C","0","28","665"
"01-01","","1","3052","2079","1","47","Molokai Resident Trustee","","112","MACHADO, Colette (Piipii)","","C","0","14","620"
"01-01","","1","3052","2079","1","48","At-Large Trustee","","113","AKINA, Keli'i","","C","0","21","652"
"01-01","","1","3052","2079","1","48","At-Large Trustee","","114","SOUZA, Keoni","","C","0","26","773"
"01-01","","1","3052","2079","1","49","Mayor, County of Hawaii","","115","MARZO, Ikaika","","C","0","27","915"
"01-01","","1","3052","2079","1","49","Mayor, County of Hawaii","","116","ROTH, Mitch","","C","0","36","1044"
"01-01","","1","3052","2079","1","50","Councilmember, Dist 1, County of Hawaii","","117","KIMBALL, Heather L.","","C","0","30","855"
"01-01","","1","3052","2079","1","50","Councilmember, Dist 1, County of Hawaii","","118","YAGONG, Dominic","","C","0","33","1081"
"01-01","","1","3052","2079","1","67","HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter","","161","YES","","C","0","42","1297"
"01-01","","1","3052","2079","1","67","HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter","","162","NO","","C","0","15","433"
"01-01","","1","3052","2079","1","68","HAWAI'I: Council Meeting Locations","","163","YES","","C","0","52","1547"
"01-01","","1","3052","2079","1","68","HAWAI'I: Council Meeting Locations","","164","NO","","C","0","6","259"
"01-01","","1","3052","2079","1","69","HAWAI'I: Department of Research & Development","","165","YES","","C","0","51","1500"
"01-01","","1","3052","2079","1","69","HAWAI'I: Department of Research & Development","","166","NO","","C","0","7","237"
"01-01","","1","3052","2079","1","70","HAWAI'I: Authority of Police & Fire Commissions","","167","YES","","C","0","48","1520"
"01-01","","1","3052","2079","1","70","HAWAI'I: Authority of Police & Fire Commissions","","168","NO","","C","0","10","282"
"01-01","","1","3052","2079","1","71","HAWAI'I: Terms of Council Members","","169","YES","","C","0","30","928"
"01-01","","1","3052","2079","1","71","HAWAI'I: Terms of Council Members","","170","NO","","C","0","28","881"
"01-01","","1","3052","2079","1","72","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund","","171","YES","","C","0","42","1105"
"01-01","","1","3052","2079","1","72","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund","","172","NO","","C","0","14","662"
"01-01","","1","3052","2079","1","73","HAWAI'I: Discipline of Council Members","","173","YES","","C","0","53","1636"
"01-01","","1","3052","2079","1","73","HAWAI'I: Discipline of Council Members","","174","NO","","C","0","5","169"
"01-01","","1","3052","2079","1","74","HAWAI'I: Department of Information Technology","","175","YES","","C","0","28","810"
"01-01","","1","3052","2079","1","74","HAWAI'I: Department of Information Technology","","176","NO","","C","0","25","888"
"01-01","","1","3052","2079","1","75","HAWAI'I: Establishment of a Disaster & Emergency Fund","","177","YES","","C","0","38","991"
"01-01","","1","3052","2079","1","75","HAWAI'I: Establishment of a Disaster & Emergency Fund","","178","NO","","C","0","20","783"
"01-01","","1","3052","2079","1","76","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund","","179","YES","","C","0","32","943"
"01-01","","1","3052","2079","1","76","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund","","180","NO","","C","0","20","797"
"01-01","","1","3052","2079","1","77","HAWAI'I: Mandatory Charter Reviews","","181","YES","","C","0","41","1422"
"01-01","","1","3052","2079","1","77","HAWAI'I: Mandatory Charter Reviews","","182","NO","","C","0","9","267"
"01-01","","1","3052","2079","1","78","HAWAI'I: Corporation Counsel","","183","YES","","C","0","42","1425"
"01-01","","1","3052","2079","1","78","HAWAI'I: Corporation Counsel","","184","NO","","C","0","9","310"
"01-01","","1","3052","2079","1","79","HAWAI'I: Hawai'i Fire Department","","185","YES","","C","0","36","1221"
"01-01","","1","3052","2079","1","79","HAWAI'I: Hawai'i Fire Department","","186","NO","","C","0","18","483"
"01-01","","1","3052","2079","1","80","HAWAI'I: Membership on Boards & Commissions","","187","YES","","C","0","31","1044"
"01-01","","1","3052","2079","1","80","HAWAI'I: Membership on Boards & Commissions","","188","NO","","C","0","20","673"
"01-01","","1","3052","2079","1","81","HAWAI'I: Capital Budget & Capital Programs","","189","YES","","C","0","43","1411"
"01-01","","1","3052","2079","1","81","HAWAI'I: Capital Budget & Capital Programs","","190","NO","","C","0","9","304"
"01-01","","1","3052","2079","1","82","HAWAI'I: Board of Ethics","","191","YES","","C","0","40","1403"
"01-01","","1","3052","2079","1","82","HAWAI'I: Board of Ethics","","192","NO","","C","0","14","345"
"01-02","","2","1041","770","1","1","President and Vice President","","1","(C) BLANKENSHIP / MOHR","","C","0","0","1"
"01-02","","2","1041","770","1","1","President and Vice President","","2","(D) BIDEN / HARRIS","","C","0","9","533"
"01-02","","2","1041","770","1","1","President and Vice President","","3","(G) HAWKINS / WALKER","","C","0","0","5"
"01-02","","2","1041","770","1","1","President and Vice President","","4","(L) JORGENSEN / COHEN","","C","0","0","6"
"01-02","","2","1041","770","1","1","President and Vice President","","5","(R) TRUMP / PENCE","","C","0","9","198"
"01-02","","2","1041","770","1","1","President and Vice President","","6","(AS) PIERCE / BALLARD","","C","0","0","0"
"01-02","","2","1041","770","1","3","U.S. Representative, Dist II","","9","(R) AKANA, Joe","","C","0","10","148"
"01-02","","2","1041","770","1","3","U.S. Representative, Dist II","","10","(N) BURRUS, Ron","","C","0","0","2"
"01-02","","2","1041","770","1","3","U.S. Representative, Dist II","","11","(AS) GIUFFRE, John (Raghu)","","C","0","0","0"
"01-02","","2","1041","770","1","3","U.S. Representative, Dist II","","12","(A) HOOMANAWANUI, Jonathan","","C","0","0","8"
"01-02","","2","1041","770","1","3","U.S. Representative, Dist II","","13","(D) KAHELE, Kaiali'i (Kai)","","C","0","6","490"
"01-02","","2","1041","770","1","3","U.S. Representative, Dist II","","14","(L) TIPPENS, Michelle Rose","","C","0","0","30"
"01-02","","2","1041","770","1","12","State Representative, Dist 1","","32","(D) NAKASHIMA, Mark M.","","C","0","7","515"
"01-02","","2","1041","770","1","12","State Representative, Dist 1","","33","(R) SHIN, Lorraine Pualani","","C","0","8","194"
"01-02","","2","1041","770","1","46","Hawaii Resident Trustee","","109","LINDSEY, Keola","","C","0","4","327"
"01-02","","2","1041","770","1","46","Hawaii Resident Trustee","","110","MANGAUIL, Lanakila","","C","0","11","326"
"01-02","","2","1041","770","1","47","Molokai Resident Trustee","","111","ALAPA, Luana","","C","0","11","267"
"01-02","","2","1041","770","1","47","Molokai Resident Trustee","","112","MACHADO, Colette (Piipii)","","C","0","4","213"
"01-02","","2","1041","770","1","48","At-Large Trustee","","113","AKINA, Keli'i","","C","0","9","274"
"01-02","","2","1041","770","1","48","At-Large Trustee","","114","SOUZA, Keoni","","C","0","6","267"
"01-02","","2","1041","770","1","49","Mayor, County of Hawaii","","115","MARZO, Ikaika","","C","0","8","319"
"01-02","","2","1041","770","1","49","Mayor, County of Hawaii","","116","ROTH, Mitch","","C","0","8","409"
"01-02","","2","1041","770","1","50","Councilmember, Dist 1, County of Hawaii","","117","KIMBALL, Heather L.","","C","0","10","320"
"01-02","","2","1041","770","1","50","Councilmember, Dist 1, County of Hawaii","","118","YAGONG, Dominic","","C","0","6","386"
"01-02","","2","1041","770","1","67","HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter","","161","YES","","C","0","7","454"
"01-02","","2","1041","770","1","67","HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter","","162","NO","","C","0","7","190"
"01-02","","2","1041","770","1","68","HAWAI'I: Council Meeting Locations","","163","YES","","C","0","12","569"
"01-02","","2","1041","770","1","68","HAWAI'I: Council Meeting Locations","","164","NO","","C","0","2","104"
"01-02","","2","1041","770","1","69","HAWAI'I: Department of Research & Development","","165","YES","","C","0","14","548"
"01-02","","2","1041","770","1","69","HAWAI'I: Department of Research & Development","","166","NO","","C","0","0","105"
"01-02","","2","1041","770","1","70","HAWAI'I: Authority of Police & Fire Commissions","","167","YES","","C","0","11","527"
"01-02","","2","1041","770","1","70","HAWAI'I: Authority of Police & Fire Commissions","","168","NO","","C","0","4","138"
"01-02","","2","1041","770","1","71","HAWAI'I: Terms of Council Members","","169","YES","","C","0","5","305"
"01-02","","2","1041","770","1","71","HAWAI'I: Terms of Council Members","","170","NO","","C","0","9","366"
"01-02","","2","1041","770","1","72","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund","","171","YES","","C","0","8","389"
"01-02","","2","1041","770","1","72","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund","","172","NO","","C","0","6","268"
"01-02","","2","1041","770","1","73","HAWAI'I: Discipline of Council Members","","173","YES","","C","0","13","592"
"01-02","","2","1041","770","1","73","HAWAI'I: Discipline of Council Members","","174","NO","","C","0","2","78"
"01-02","","2","1041","770","1","74","HAWAI'I: Department of Information Technology","","175","YES","","C","0","8","267"
"01-02","","2","1041","770","1","74","HAWAI'I: Department of Information Technology","","176","NO","","C","0","6","356"
"01-02","","2","1041","770","1","75","HAWAI'I: Establishment of a Disaster & Emergency Fund","","177","YES","","C","0","7","357"
"01-02","","2","1041","770","1","75","HAWAI'I: Establishment of a Disaster & Emergency Fund","","178","NO","","C","0","6","312"
"01-02","","2","1041","770","1","76","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund","","179","YES","","C","0","7","299"
"01-02","","2","1041","770","1","76","HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund","","180","NO","","C","0","7","340"
"01-02","","2","1041","770","1","77","HAWAI'I: Mandatory Charter Reviews","","181","YES","","C","0","9","501"
"01-02","","2","1041","770","1","77","HAWAI'I: Mandatory Charter Reviews","","182","NO","","C","0","5","127"
"01-02","","2","1041","770","1","78","HAWAI'I: Corporation Counsel","","183","YES","","C","0","8","517"
"01-02","","2","1041","770","1","78","HAWAI'I: Corporation Counsel","","184","NO","","C","0","5","135"
"01-02","","2","1041","770","1","79","HAWAI'I: Hawai'i Fire Department","","185","YES","","C","0","7","422"
"01-02","","2","1041","770","1","79","HAWAI'I: Hawai'i Fire Department","","186","NO","","C","0","6","216"
"01-02","","2","1041","770","1","80","HAWAI'I: Membership on Boards & Commissions","","187","YES","","C","0","3","363"
"01-02","","2","1041","770","1","80","HAWAI'I: Membership on Boards & Commissions","","188","NO","","C","0","11","279"
"01-02","","2","1041","770","1","81","HAWAI'I: Capital Budget & Capital Programs","","189","YES","","C","0","11","496"
"01-02","","2","1041","770","1","81","HAWAI'I: Capital Budget & Capital Programs","","190","NO","","C","0","3","145"
