Election,Jurisdiction Name,Reporting County Name,DataEntry Jurisdiction Name,DataEntry Level Name,Office,Office Category,Ballot Order,Name on Ballot,Political Party,Total Votes
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,"""Rocky"" Roque De La Fuente (W/I)",Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Cherunda Fox (W/I),Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Darrell L. Castle (W/I),Constitution,14
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Denny C. Jackson (W/I),Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Donald J. Trump,Republican,9642
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Emidio Soltysik (W/I),Socialist Party Usa,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Gary Johnson,Libertarian,595
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Hillary Clinton,Democratic,2802
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Jill Stein (W/I),Green,23
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Joseph Maldonado (W/I),Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Laurence Kotlikoff (W/I),Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Matthew (None Of The Above) Roberts (W/I),Independent,2
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Melissa L. Kelly (W/I),Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Monica Moorehead (W/I),Workers,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ray C. Brown (W/I),Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Ric Mullis (W/I),Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Richard Duncan (W/I),Independent,0
2016 General Election,Statewide,Adams,Adams,Locality,US President & Vice President,Presidential Electors For US President & Vp,20,Tom Hoefling (W/I),Independent,3
