Office,Parish,Ward,Precinct,"Lee Ann Dugas (DEM)","Howard Kearney (LBT)","Steve Scalise (REP)"
"U. S. Representative -- 1st Congressional District","Jefferson","00","001","66","17","586"
"U. S. Representative -- 1st Congressional District","Jefferson","00","002","48","15","401"
"U. S. Representative -- 1st Congressional District","Jefferson","00","003","63","7","321"
"U. S. Representative -- 1st Congressional District","Jefferson","00","004","65","11","311"
"U. S. Representative -- 1st Congressional District","Jefferson","00","005","65","4","353"
"U. S. Representative -- 1st Congressional District","Jefferson","00","007","113","16","333"
"U. S. Representative -- 1st Congressional District","Jefferson","00","008","62","12","240"
"U. S. Representative -- 1st Congressional District","Jefferson","00","009","170","12","284"
"U. S. Representative -- 1st Congressional District","Jefferson","00","010","58","4","328"
"U. S. Representative -- 1st Congressional District","Jefferson","00","011","113","14","314"
"U. S. Representative -- 1st Congressional District","Jefferson","00","012","73","8","486"
"U. S. Representative -- 1st Congressional District","Jefferson","00","013","102","17","536"
"U. S. Representative -- 1st Congressional District","Jefferson","00","014","52","3","274"
"U. S. Representative -- 1st Congressional District","Jefferson","00","015","64","13","180"
"U. S. Representative -- 1st Congressional District","Jefferson","00","016","46","8","218"
"U. S. Representative -- 1st Congressional District","Jefferson","00","017","109","27","645"
"U. S. Representative -- 1st Congressional District","Jefferson","00","018","86","13","413"
"U. S. Representative -- 1st Congressional District","Jefferson","00","019","53","6","204"
"U. S. Representative -- 1st Congressional District","Jefferson","00","020","38","3","160"
"U. S. Representative -- 1st Congressional District","Jefferson","00","021","64","11","289"
"U. S. Representative -- 1st Congressional District","Jefferson","00","022","74","6","160"
"U. S. Representative -- 1st Congressional District","Jefferson","00","023","169","11","117"
"U. S. Representative -- 1st Congressional District","Jefferson","00","024","87","10","635"
"U. S. Representative -- 1st Congressional District","Jefferson","00","025","71","11","606"
"U. S. Representative -- 1st Congressional District","Jefferson","00","026","135","17","426"
"U. S. Representative -- 1st Congressional District","Jefferson","00","027","248","22","298"
"U. S. Representative -- 1st Congressional District","Jefferson","00","028","69","10","185"
"U. S. Representative -- 1st Congressional District","Jefferson","00","029","72","11","175"
"U. S. Representative -- 1st Congressional District","Jefferson","00","030","96","14","487"
"U. S. Representative -- 1st Congressional District","Jefferson","00","031","78","14","344"
"U. S. Representative -- 1st Congressional District","Jefferson","00","032","49","7","389"
"U. S. Representative -- 1st Congressional District","Jefferson","00","033","72","7","247"
"U. S. Representative -- 1st Congressional District","Jefferson","00","034","56","17","366"
"U. S. Representative -- 1st Congressional District","Jefferson","00","035","36","4","238"
"U. S. Representative -- 1st Congressional District","Jefferson","00","036","48","5","212"
"U. S. Representative -- 1st Congressional District","Jefferson","00","037","62","11","318"
"U. S. Representative -- 1st Congressional District","Jefferson","00","038","71","6","352"
"U. S. Representative -- 1st Congressional District","Jefferson","00","039","44","12","398"
"U. S. Representative -- 1st Congressional District","Jefferson","00","040","55","10","301"
"U. S. Representative -- 1st Congressional District","Jefferson","00","041","72","4","298"
"U. S. Representative -- 1st Congressional District","Jefferson","00","042","103","13","346"
"U. S. Representative -- 1st Congressional District","Jefferson","00","043","64","8","315"
"U. S. Representative -- 1st Congressional District","Jefferson","00","044","127","23","411"
"U. S. Representative -- 1st Congressional District","Jefferson","00","045","137","19","319"
"U. S. Representative -- 1st Congressional District","Jefferson","00","046","81","10","193"
"U. S. Representative -- 1st Congressional District","Jefferson","00","051","72","19","497"
"U. S. Representative -- 1st Congressional District","Jefferson","00","052","108","19","606"
"U. S. Representative -- 1st Congressional District","Jefferson","00","053","69","13","397"
"U. S. Representative -- 1st Congressional District","Jefferson","00","054","80","10","305"
"U. S. Representative -- 1st Congressional District","Jefferson","00","055","65","17","334"
"U. S. Representative -- 1st Congressional District","Jefferson","00","056","93","18","364"
"U. S. Representative -- 1st Congressional District","Jefferson","00","058","103","9","138"
"U. S. Representative -- 1st Congressional District","Jefferson","00","059","112","17","394"
"U. S. Representative -- 1st Congressional District","Jefferson","00","060","136","32","722"
"U. S. Representative -- 1st Congressional District","Jefferson","00","061","85","14","389"
"U. S. Representative -- 1st Congressional District","Jefferson","00","062","63","9","267"
"U. S. Representative -- 1st Congressional District","Jefferson","00","063","55","10","300"
"U. S. Representative -- 1st Congressional District","Jefferson","00","064","47","11","216"
"U. S. Representative -- 1st Congressional District","Jefferson","00","065","65","17","333"
"U. S. Representative -- 1st Congressional District","Jefferson","00","066","74","12","493"
"U. S. Representative -- 1st Congressional District","Jefferson","00","067","22","6","145"
"U. S. Representative -- 1st Congressional District","Jefferson","00","068","96","19","424"
"U. S. Representative -- 1st Congressional District","Jefferson","00","069","89","12","338"
"U. S. Representative -- 1st Congressional District","Jefferson","00","070","122","7","163"
"U. S. Representative -- 1st Congressional District","Jefferson","00","071","89","19","670"
"U. S. Representative -- 1st Congressional District","Jefferson","00","072","62","17","334"
"U. S. Representative -- 1st Congressional District","Jefferson","00","073","117","21","514"
"U. S. Representative -- 1st Congressional District","Jefferson","00","074","137","14","338"
"U. S. Representative -- 1st Congressional District","Jefferson","00","075","79","10","293"
"U. S. Representative -- 1st Congressional District","Jefferson","00","076","173","21","372"
"U. S. Representative -- 1st Congressional District","Jefferson","00","077","79","11","425"
"U. S. Representative -- 1st Congressional District","Jefferson","00","078","204","17","343"
"U. S. Representative -- 1st Congressional District","Jefferson","00","079","51","14","311"
