Office,Parish,Ward,Precinct,"Belden ""Noonie Man"" Batiste (IND)","Glenn Adrain Harris (DEM)","Colby James (IND)","Cedric L. Richmond (DEM)","David M. Schilling (REP)","Sheldon C. Vincent, Sr. (REP)"
"U. S. Representative -- 2nd Congressional District","Ascension","00","30","12","48","3","63","38","9"
"U. S. Representative -- 2nd Congressional District","Ascension","00","36","30","72","17","163","101","34"
"U. S. Representative -- 2nd Congressional District","Ascension","00","37 A","25","66","6","206","45","13"
"U. S. Representative -- 2nd Congressional District","Ascension","00","37 B","19","73","7","185","59","22"
"U. S. Representative -- 2nd Congressional District","Ascension","00","39","15","29","2","67","48","23"
"U. S. Representative -- 2nd Congressional District","Ascension","00","42","4","43","5","56","47","23"
"U. S. Representative -- 2nd Congressional District","Ascension","00","44","13","62","3","202","48","19"
"U. S. Representative -- 2nd Congressional District","Ascension","00","45","7","35","1","61","13","3"
"U. S. Representative -- 2nd Congressional District","Ascension","00","47","18","124","13","223","17","14"
"U. S. Representative -- 2nd Congressional District","Ascension","00","48","3","14","5","50","53","29"
"U. S. Representative -- 2nd Congressional District","Ascension","00","50","2","15","3","29","56","21"
"U. S. Representative -- 2nd Congressional District","Ascension","00","51","18","79","4","133","13","7"
"U. S. Representative -- 2nd Congressional District","Ascension","00","52","5","26","5","36","50","10"
"U. S. Representative -- 2nd Congressional District","Ascension","00","53","9","37","7","55","75","20"
"U. S. Representative -- 2nd Congressional District","Ascension","00","54","7","43","0","78","41","14"
"U. S. Representative -- 2nd Congressional District","Ascension","00","55","9","48","7","101","17","7"
"U. S. Representative -- 2nd Congressional District","Ascension","00","56","4","14","1","22","2","1"
"U. S. Representative -- 2nd Congressional District","Ascension","00","57","9","33","4","82","4","2"
"U. S. Representative -- 2nd Congressional District","Ascension","00","60","0","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","Ascension","00","74","0","22","2","49","1","1"
"U. S. Representative -- 2nd Congressional District","Ascension","00","75","4","7","2","26","16","10"
"U. S. Representative -- 2nd Congressional District","Ascension","Early Voting","","97","683","67","2699","891","285"
"U. S. Representative -- 2nd Congressional District","Ascension","Provisional Votes","","0","0","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","Assumption","01","01","8","52","1","140","17","6"
"U. S. Representative -- 2nd Congressional District","Assumption","01","02","11","40","24","213","131","48"
"U. S. Representative -- 2nd Congressional District","Assumption","02","02","4","4","3","2","30","2"
"U. S. Representative -- 2nd Congressional District","Assumption","04","03","6","10","1","50","63","22"
"U. S. Representative -- 2nd Congressional District","Assumption","05","05","0","0","0","1","9","1"
