Office,Parish,Ward,Precinct,"""Rob"" Anderson (DEM)","Braylon Harris (DEM)","Clay Higgins (REP)","Brandon LeLeux (LBT)"
"U. S. Representative -- 3rd Congressional District","Acadia","01","01","37","18","684","15"
"U. S. Representative -- 3rd Congressional District","Acadia","01","02A","27","36","143","8"
"U. S. Representative -- 3rd Congressional District","Acadia","01","02B","14","12","198","7"
"U. S. Representative -- 3rd Congressional District","Acadia","01","03A","14","22","265","6"
"U. S. Representative -- 3rd Congressional District","Acadia","01","03B","25","40","188","6"
"U. S. Representative -- 3rd Congressional District","Acadia","01","04A","14","11","208","7"
"U. S. Representative -- 3rd Congressional District","Acadia","01","04B","25","32","221","8"
"U. S. Representative -- 3rd Congressional District","Acadia","01","05A","29","18","140","2"
"U. S. Representative -- 3rd Congressional District","Acadia","01","05B","26","71","77","4"
"U. S. Representative -- 3rd Congressional District","Acadia","01","06","58","148","15","4"
"U. S. Representative -- 3rd Congressional District","Acadia","01","07","39","130","56","4"
"U. S. Representative -- 3rd Congressional District","Acadia","01","08","31","37","360","6"
"U. S. Representative -- 3rd Congressional District","Acadia","01","09","17","6","349","11"
"U. S. Representative -- 3rd Congressional District","Acadia","02","01","28","15","636","17"
"U. S. Representative -- 3rd Congressional District","Acadia","02","02","12","9","483","7"
"U. S. Representative -- 3rd Congressional District","Acadia","02","03","20","29","278","4"
"U. S. Representative -- 3rd Congressional District","Acadia","02","04","8","8","340","5"
"U. S. Representative -- 3rd Congressional District","Acadia","02","05","17","9","297","10"
"U. S. Representative -- 3rd Congressional District","Acadia","03","01","55","65","410","11"
"U. S. Representative -- 3rd Congressional District","Acadia","03","02","11","15","505","4"
"U. S. Representative -- 3rd Congressional District","Acadia","03","03A","34","48","461","13"
"U. S. Representative -- 3rd Congressional District","Acadia","03","03B","33","50","188","12"
"U. S. Representative -- 3rd Congressional District","Acadia","03","04","47","187","52","6"
"U. S. Representative -- 3rd Congressional District","Acadia","03","05","9","15","186","3"
"U. S. Representative -- 3rd Congressional District","Acadia","03","06","17","17","210","2"
"U. S. Representative -- 3rd Congressional District","Acadia","03","07","26","37","504","9"
"U. S. Representative -- 3rd Congressional District","Acadia","04","01","17","12","382","5"
"U. S. Representative -- 3rd Congressional District","Acadia","04","02","22","25","389","9"
"U. S. Representative -- 3rd Congressional District","Acadia","04","04","24","14","679","11"
"U. S. Representative -- 3rd Congressional District","Acadia","04","05","12","8","505","4"
"U. S. Representative -- 3rd Congressional District","Acadia","04","06","10","16","378","5"
"U. S. Representative -- 3rd Congressional District","Acadia","05","01A","11","14","186","1"
"U. S. Representative -- 3rd Congressional District","Acadia","05","02A","13","14","227","4"
"U. S. Representative -- 3rd Congressional District","Acadia","05","03","8","10","381","5"
"U. S. Representative -- 3rd Congressional District","Acadia","05","04","15","5","258","5"
"U. S. Representative -- 3rd Congressional District","Acadia","05","05","7","3","121","4"
"U. S. Representative -- 3rd Congressional District","Acadia","06","01","34","149","109","8"
"U. S. Representative -- 3rd Congressional District","Acadia","06","02","16","16","153","6"
"U. S. Representative -- 3rd Congressional District","Acadia","06","03A","28","58","116","8"
"U. S. Representative -- 3rd Congressional District","Acadia","06","03B","5","2","107","4"
"U. S. Representative -- 3rd Congressional District","Acadia","06","04","37","65","202","8"
"U. S. Representative -- 3rd Congressional District","Acadia","06","06","17","91","2","1"
"U. S. Representative -- 3rd Congressional District","Acadia","06","07","23","9","160","9"
"U. S. Representative -- 3rd Congressional District","Acadia","06","08","20","28","216","7"
"U. S. Representative -- 3rd Congressional District","Acadia","06","09","6","14","123","4"
"U. S. Representative -- 3rd Congressional District","Acadia","06","10","11","5","156","3"
"U. S. Representative -- 3rd Congressional District","Acadia","06","11","34","165","5","5"
"U. S. Representative -- 3rd Congressional District","Acadia","06","12","18","19","223","8"
"U. S. Representative -- 3rd Congressional District","Acadia","06","13","3","4","120","4"
"U. S. Representative -- 3rd Congressional District","Acadia","06","14","5","8","354","9"
"U. S. Representative -- 3rd Congressional District","Acadia","06","15","5","8","113","4"
"U. S. Representative -- 3rd Congressional District","Acadia","06","16","13","5","161","5"
"U. S. Representative -- 3rd Congressional District","Acadia","07","02","26","16","377","2"
"U. S. Representative -- 3rd Congressional District","Acadia","07","03","15","14","621","11"
"U. S. Representative -- 3rd Congressional District","Acadia","07","04","11","12","470","12"
"U. S. Representative -- 3rd Congressional District","Acadia","Early Voting","","776","1196","7095","151"
"U. S. Representative -- 3rd Congressional District","Acadia","Provisional Votes","","0","0","0","0"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","160E","20","15","296","5"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","160W","14","8","236","4"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","161","17","8","298","11"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","162E","23","35","409","29"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","162W","16","12","280","18"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","163","17","28","394","14"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","164","6","4","154","5"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","165","19","35","366","22"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","166E","17","20","258","11"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","166W","27","43","278","12"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","167","24","24","290","21"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","260","34","23","541","15"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","261","7","2","269","3"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","262","20","14","261","8"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","300","83","209","15","9"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","301","54","140","9","2"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","302","15","18","29","5"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","303","30","86","3","2"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","304","38","98","17","6"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","305","74","167","11","5"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","306","31","25","186","11"
"U. S. Representative -- 3rd Congressional District","Calcasieu","00","307","16","46","6","2"
