Office,Parish,Ward,Precinct,"Ben Gibson (REP)","Kenny Houston (DEM)","""Mike"" Johnson (REP)","Ryan Trundle (DEM)"
"U. S. Representative -- 4th Congressional District","Allen","01","01","11","34","74","7"
"U. S. Representative -- 4th Congressional District","Allen","01","02","11","14","67","13"
"U. S. Representative -- 4th Congressional District","Allen","01","03","15","27","73","6"
"U. S. Representative -- 4th Congressional District","Allen","01","04","7","59","13","19"
"U. S. Representative -- 4th Congressional District","Allen","01","05","5","16","26","3"
"U. S. Representative -- 4th Congressional District","Allen","01","06","11","22","105","10"
"U. S. Representative -- 4th Congressional District","Allen","02","01","17","32","130","18"
"U. S. Representative -- 4th Congressional District","Allen","02","02","29","12","274","11"
"U. S. Representative -- 4th Congressional District","Allen","02","02A","22","25","100","15"
"U. S. Representative -- 4th Congressional District","Allen","02","03","31","6","224","4"
"U. S. Representative -- 4th Congressional District","Allen","02","04-C","33","32","177","13"
"U. S. Representative -- 4th Congressional District","Allen","02","04-O","24","43","210","27"
"U. S. Representative -- 4th Congressional District","Allen","02","05","7","50","7","20"
"U. S. Representative -- 4th Congressional District","Allen","02","06","21","10","173","3"
"U. S. Representative -- 4th Congressional District","Allen","03","01","32","7","185","1"
"U. S. Representative -- 4th Congressional District","Allen","03","02","64","38","397","9"
"U. S. Representative -- 4th Congressional District","Allen","04","02","27","7","220","1"
"U. S. Representative -- 4th Congressional District","Allen","04","03","39","8","212","5"
"U. S. Representative -- 4th Congressional District","Allen","05","02","73","12","316","6"
"U. S. Representative -- 4th Congressional District","Allen","05","03","24","22","183","5"
"U. S. Representative -- 4th Congressional District","Allen","05","04-C","35","44","273","16"
"U. S. Representative -- 4th Congressional District","Allen","05","04-O","18","13","188","3"
"U. S. Representative -- 4th Congressional District","Allen","05","05","17","3","145","1"
"U. S. Representative -- 4th Congressional District","Allen","05","07","11","174","42","31"
"U. S. Representative -- 4th Congressional District","Allen","05","08A","3","9","17","0"
"U. S. Representative -- 4th Congressional District","Allen","05","09","32","91","250","12"
