Office,Parish,Ward,Precinct,"Garret Graves (REP)","Shannon Sloan (LBT)","Richard ""RPT"" Torregano (NOPTY)","Dartanyon ""DAW"" Williams (DEM)"
"U. S. Representative -- 6th Congressional District","Ascension","00","01 A","198","6","1","27"
"U. S. Representative -- 6th Congressional District","Ascension","00","01 B","170","8","0","29"
"U. S. Representative -- 6th Congressional District","Ascension","00","02 A","299","13","2","29"
"U. S. Representative -- 6th Congressional District","Ascension","00","02 B","298","12","1","38"
"U. S. Representative -- 6th Congressional District","Ascension","00","03","424","19","3","49"
"U. S. Representative -- 6th Congressional District","Ascension","00","04","393","14","3","63"
"U. S. Representative -- 6th Congressional District","Ascension","00","05","413","19","3","78"
"U. S. Representative -- 6th Congressional District","Ascension","00","06 A","351","14","1","61"
"U. S. Representative -- 6th Congressional District","Ascension","00","06 B","385","12","3","74"
"U. S. Representative -- 6th Congressional District","Ascension","00","06 C","319","14","2","59"
"U. S. Representative -- 6th Congressional District","Ascension","00","07 A","237","16","2","51"
"U. S. Representative -- 6th Congressional District","Ascension","00","07 B","266","5","6","57"
"U. S. Representative -- 6th Congressional District","Ascension","00","08 A","197","8","1","39"
"U. S. Representative -- 6th Congressional District","Ascension","00","08 B","208","9","1","31"
"U. S. Representative -- 6th Congressional District","Ascension","00","09","452","24","6","110"
"U. S. Representative -- 6th Congressional District","Ascension","00","10","573","27","6","73"
"U. S. Representative -- 6th Congressional District","Ascension","00","11 A","300","14","5","75"
"U. S. Representative -- 6th Congressional District","Ascension","00","11 B","255","16","5","52"
"U. S. Representative -- 6th Congressional District","Ascension","00","12","525","25","8","71"
"U. S. Representative -- 6th Congressional District","Ascension","00","13","577","35","4","89"
"U. S. Representative -- 6th Congressional District","Ascension","00","14","439","8","10","24"
"U. S. Representative -- 6th Congressional District","Ascension","00","15","541","15","1","34"
"U. S. Representative -- 6th Congressional District","Ascension","00","16","376","22","5","76"
"U. S. Representative -- 6th Congressional District","Ascension","00","17","397","20","9","178"
"U. S. Representative -- 6th Congressional District","Ascension","00","18","548","19","3","82"
"U. S. Representative -- 6th Congressional District","Ascension","00","20","376","25","5","62"
"U. S. Representative -- 6th Congressional District","Ascension","00","21","233","14","0","32"
"U. S. Representative -- 6th Congressional District","Ascension","00","22","307","10","1","29"
"U. S. Representative -- 6th Congressional District","Ascension","00","23","199","9","2","54"
"U. S. Representative -- 6th Congressional District","Ascension","00","24","144","5","0","21"
"U. S. Representative -- 6th Congressional District","Ascension","00","25","420","16","4","25"
"U. S. Representative -- 6th Congressional District","Ascension","00","26 A","457","10","1","22"
"U. S. Representative -- 6th Congressional District","Ascension","00","26 B","442","8","2","14"
"U. S. Representative -- 6th Congressional District","Ascension","00","27","599","24","1","32"
"U. S. Representative -- 6th Congressional District","Ascension","00","28","136","14","5","115"
"U. S. Representative -- 6th Congressional District","Ascension","00","31","205","18","6","92"
"U. S. Representative -- 6th Congressional District","Ascension","00","32","208","16","4","102"
"U. S. Representative -- 6th Congressional District","Ascension","00","33","526","16","8","36"
"U. S. Representative -- 6th Congressional District","Ascension","00","34","416","14","7","52"
"U. S. Representative -- 6th Congressional District","Ascension","00","35","480","11","6","26"
"U. S. Representative -- 6th Congressional District","Ascension","00","40 A","412","14","7","101"
"U. S. Representative -- 6th Congressional District","Ascension","00","40 B","479","17","4","118"
"U. S. Representative -- 6th Congressional District","Ascension","00","41","375","11","5","26"
"U. S. Representative -- 6th Congressional District","Ascension","00","43","388","11","0","23"
"U. S. Representative -- 6th Congressional District","Ascension","00","58","256","8","5","85"
"U. S. Representative -- 6th Congressional District","Ascension","00","70","36","2","0","3"
"U. S. Representative -- 6th Congressional District","Ascension","00","71 A","281","19","3","72"
"U. S. Representative -- 6th Congressional District","Ascension","00","71 B","314","11","3","74"
"U. S. Representative -- 6th Congressional District","Ascension","00","72","293","15","5","69"
"U. S. Representative -- 6th Congressional District","Ascension","00","73","147","4","1","3"
"U. S. Representative -- 6th Congressional District","Ascension","00","76","555","23","8","79"
"U. S. Representative -- 6th Congressional District","Ascension","00","77","323","13","1","55"
"U. S. Representative -- 6th Congressional District","Ascension","00","78","356","15","8","33"
"U. S. Representative -- 6th Congressional District","Ascension","Early Voting","","21482","566","182","5914"
"U. S. Representative -- 6th Congressional District","Ascension","Provisional Votes","","4","0","1","1"
"U. S. Representative -- 6th Congressional District","Assumption","02","01","253","1","2","15"
"U. S. Representative -- 6th Congressional District","Assumption","02","03","285","9","6","64"
"U. S. Representative -- 6th Congressional District","Assumption","02","04","133","4","0","10"
"U. S. Representative -- 6th Congressional District","Assumption","02","05","66","0","1","10"
"U. S. Representative -- 6th Congressional District","Assumption","03","01","152","4","1","14"
"U. S. Representative -- 6th Congressional District","Assumption","03","02","515","8","10","21"
"U. S. Representative -- 6th Congressional District","Assumption","04","01","76","5","1","47"
