City/Town,,,"Joseph R. Biden, Jr.","Donald J. Trump","Jo Jorgensen","Howard Hawkins","All Others","No Preference",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Libertarian,Green-Rainbow
Abington,,,"5,209","4,236",146,45,24,0,75,"9,735"
Acton,,,"11,105","2,471",193,74,84,0,91,"14,018"
Acushnet,,,"2,664","3,290",73,30,11,0,58,"6,126"
Adams,,,"2,894","1,428",77,35,7,0,27,"4,468"
Agawam,,,"7,794","8,073",186,74,58,0,77,"16,262"
Alford,,,271,50,1,1,2,0,5,330
Amesbury,,,"6,786","3,326",174,54,55,0,67,"10,462"
Amherst,,,"10,718",873,89,129,62,0,42,"11,913"
Andover,,,"14,503","6,693",291,105,151,0,158,"21,901"
Aquinnah,,,311,34,8,1,1,0,0,355
Arlington,,,"23,671","4,381",232,149,118,0,208,"28,759"
Ashburnham,,,"2,030","1,667",87,21,22,0,10,"3,837"
Ashby,,,956,"1,008",41,16,2,0,9,"2,032"
Ashfield,,,993,180,30,12,3,0,12,"1,230"
Ashland,,,"7,308","2,936",153,47,0,0,120,"10,564"
Athol,,,"2,705","2,579",128,57,33,0,29,"5,531"
Attleboro,,,"13,661","9,272",373,149,100,0,136,"23,691"
Auburn,,,"5,620","4,306",173,66,36,0,60,"10,261"
Avon,,,"1,601","1,030",36,21,9,0,26,"2,723"
Ayer,,,"2,932","1,537",111,26,19,0,28,"4,653"
Barnstable,,,"16,491","11,436",365,110,25,0,257,"28,684"
Barre,,,"1,535","1,523",68,19,12,0,10,"3,167"
Becket,,,757,413,17,6,2,0,3,"1,198"
Bedford,,,"6,452","2,180",126,44,57,0,43,"8,902"
Belchertown,,,"5,893","3,481",147,68,20,0,82,"9,691"
Bellingham,,,"5,211","4,402",161,68,47,0,44,"9,933"
Belmont,,,"11,999","2,956",183,111,107,0,136,"15,492"
Berkley,,,"1,764","2,251",62,20,16,0,30,"4,143"
Berlin,,,"1,375",816,48,18,8,0,10,"2,275"
Bernardston,,,916,423,28,8,0,0,10,"1,385"
Beverly,,,"16,703","7,205",375,109,58,0,254,"24,704"
Billerica,,,"13,328","10,731",360,113,112,0,134,"24,778"
Blackstone,,,"2,450","2,560",82,27,16,0,18,"5,153"
Blandford,,,307,454,13,1,0,0,6,781
Bolton,,,"2,529","1,140",75,18,0,0,51,"3,813"
Boston,,,"242,717","45,425","2,603","1,484","1,567",0,"1,501","295,297"
Bourne,,,"6,527","5,331",148,59,54,0,127,"12,246"
Boxborough,,,"2,526",786,63,22,5,0,38,"3,440"
Boxford,,,"3,117","2,271",93,23,39,0,39,"5,582"
Boylston,,,"1,877","1,318",70,15,24,0,17,"3,321"
Braintree,,,"12,612","8,744",232,94,113,0,158,"21,953"
Brewster,,,"4,940","2,338",102,38,18,0,58,"7,494"
Bridgewater,,,"7,688","6,572",220,72,64,0,87,"14,703"
Brimfield,,,"1,063","1,193",44,11,3,0,35,"2,349"
Brockton,,,"29,475","8,689",348,143,57,0,242,"38,954"
Brookfield,,,946,"1,054",34,16,4,0,8,"2,062"
Brookline,,,"27,150","3,418",243,148,125,0,221,"31,305"
Buckland,,,889,268,18,14,2,0,12,"1,203"
Burlington,,,"9,447","5,566",196,76,61,0,85,"15,431"
Cambridge,,,"50,233","3,519",395,387,261,0,244,"55,039"
Canton,,,"9,222","4,965",187,56,55,0,86,"14,571"
Carlisle,,,"2,772",767,58,17,24,0,32,"3,670"
Carver,,,"3,277","3,504",96,38,46,0,40,"7,001"
Charlemont,,,492,235,12,4,0,0,6,749
Charlton,,,"3,759","4,127",158,45,33,0,47,"8,169"
Chatham,,,"3,107","1,834",70,23,41,0,47,"5,122"
Chelmsford,,,"13,901","7,823",398,106,121,0,137,"22,486"
Chelsea,,,"8,155","2,215",96,58,0,0,123,"10,647"
Cheshire,,,"1,124",775,36,0,11,0,20,"1,966"
Chester,,,313,415,14,2,0,0,5,749
Chesterfield,,,510,287,14,9,2,0,11,833
Chicopee,,,"14,502","10,636",397,174,86,0,131,"25,926"
Chilmark,,,796,111,5,3,6,0,3,924
Clarksburg,,,583,390,13,2,2,0,12,"1,002"
Clinton,,,"4,688","2,886",158,54,40,0,34,"7,860"
Cohasset,,,"3,849","1,665",96,11,48,0,58,"5,727"
Colrain,,,667,306,20,10,4,0,5,"1,012"
Concord,,,"10,024","1,977",160,52,98,0,80,"12,391"
Conway,,,989,278,24,11,1,0,5,"1,308"
Cummington,,,413,162,7,4,5,0,5,596
Dalton,,,"2,682","1,039",63,27,10,0,11,"3,832"
Danvers,,,"9,833","6,725",211,91,47,0,155,"17,062"
Dartmouth,,,"9,792","7,778",181,70,63,0,95,"17,979"
Dedham,,,"10,760","4,771",191,60,85,0,114,"15,981"
Deerfield,,,"2,425",839,55,21,10,0,20,"3,370"
Dennis,,,"6,181","3,938",119,36,47,0,53,"10,374"
Dighton,,,"2,139","2,473",62,25,25,0,19,"4,743"
Douglas,,,"2,458","2,956",91,29,0,0,53,"5,587"
Dover,,,"2,761","1,142",67,14,39,0,41,"4,064"
Dracut,,,"8,706","8,812",253,74,0,0,182,"18,027"
Dudley,,,"2,744","3,192",103,27,26,0,23,"6,115"
Dunstable,,,"1,243",877,46,7,0,0,30,"2,203"
Duxbury,,,"6,910","4,032",166,24,87,0,80,"11,299"
"E. Bridgewater",,,"4,183","4,366",140,43,35,0,54,"8,821"
"E. Brookfield",,,593,741,18,7,6,0,5,"1,370"
"E. Longmeadow",,,"5,295","4,623",119,42,43,0,49,"10,171"
Eastham,,,"2,864","1,151",48,16,21,0,17,"4,117"
Easthampton,,,"7,796","2,525",132,108,31,0,56,"10,648"
Easton,,,"8,715","5,467",198,77,62,0,86,"14,605"
Edgartown,,,"2,185",854,39,15,8,0,25,"3,126"
Egremont,,,783,174,8,7,1,0,3,976
Erving,,,550,355,15,4,5,0,7,936
Essex,,,"1,650",796,45,8,13,0,16,"2,528"
Everett,,,"10,492","4,093",108,72,52,0,76,"14,893"
Fairhaven,,,"5,093","4,275",114,45,30,0,72,"9,629"
"Fall River",,,"17,459","13,571",379,156,51,0,584,"32,200"
Falmouth,,,"14,134","7,319",245,96,96,0,164,"22,054"
Fitchburg,,,"9,897","6,186",277,104,45,0,105,"16,614"
Florida,,,209,203,6,0,0,0,2,420
Foxborough,,,"6,740","4,357",163,43,43,0,79,"11,425"
Framingham,,,"23,622","7,712",391,150,173,0,187,"32,235"
Franklin,,,"12,475","7,345",338,101,87,0,206,"20,552"
Freetown,,,"2,483","2,906",70,26,21,0,27,"5,533"
Gardner,,,"5,213","3,939",211,60,21,0,73,"9,517"
Georgetown,,,"3,051","2,388",84,22,40,0,30,"5,615"
Gill,,,679,279,18,5,6,0,2,989
Gloucester,,,"12,138","5,595",217,88,121,0,154,"18,313"
Goshen,,,418,231,15,5,3,0,1,673
Gosnold,,,56,22,2,1,1,0,0,82
Grafton,,,"7,139","4,011",175,71,57,0,78,"11,531"
Granby,,,"2,055","1,815",56,22,8,0,21,"3,977"
Granville,,,402,565,20,3,0,0,12,"1,002"
"Great Barrington",,,"3,368",654,44,28,18,0,15,"4,127"
Greenfield,,,"6,883","2,265",136,83,42,0,298,"9,707"
Groton,,,"4,941","2,149",125,29,41,0,71,"7,356"
Groveland,,,"2,421","1,976",92,22,25,0,30,"4,566"
Hadley,,,"2,476",925,49,27,16,0,22,"3,515"
Halifax,,,"2,354","2,398",75,30,17,0,19,"4,893"
Hamilton,,,"3,364","1,458",105,18,43,0,40,"5,028"
Hampden,,,"1,539","1,713",58,16,13,0,36,"3,375"
Hancock,,,257,207,9,3,2,0,4,482
Hanover,,,"4,910","4,507",153,28,54,0,67,"9,719"
Hanson,,,"3,244","3,314",125,34,24,0,58,"6,799"
Hardwick,,,749,733,32,7,8,0,5,"1,534"
Harvard,,,"3,074",954,71,18,12,0,28,"4,157"
Harwich,,,"5,833","3,365",149,47,54,0,69,"9,517"
Hatfield,,,"1,578",686,23,15,11,0,10,"2,323"
Haverhill,,,"19,020","12,571",444,197,169,0,171,"32,572"
Hawley,,,155,70,3,3,0,0,0,231
Heath,,,294,158,8,6,2,0,2,470
Hingham,,,"10,855","4,986",208,43,137,0,157,"16,386"
Hinsdale,,,771,402,18,15,4,0,6,"1,216"
Holbrook,,,"3,710","2,381",71,31,20,0,45,"6,258"
Holden,,,"7,325","4,996",200,65,68,0,82,"12,736"
Holland,,,698,793,38,7,9,0,13,"1,558"
Holliston,,,"6,771","2,579",161,45,61,0,50,"9,667"
Holyoke,,,"11,152","4,843",169,128,21,0,170,"16,483"
Hopedale,,,"2,285","1,385",62,22,21,0,26,"3,801"
Hopkinton,,,"7,047","2,981",143,43,82,0,58,"10,354"
Hubbardston,,,"1,390","1,442",63,21,11,0,16,"2,943"
Hudson,,,"7,414","3,852",196,71,50,0,70,"11,653"
Hull,,,"4,507","2,433",77,33,30,0,55,"7,135"
Huntington,,,585,593,24,13,2,0,6,"1,223"
Ipswich,,,"6,273","3,109",149,43,40,0,114,"9,728"
