City/Town,,,"Edward J. Markey","Kevin J. O'Connor","Shiva Ayyadurai","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican
Abington,,,"5,304","4,118",66,6,241,"9,735"
Acton,,,"10,731","2,941",84,16,246,"14,018"
Acushnet,,,"2,870","2,965",62,3,226,"6,126"
Adams,,,"2,948","1,358",57,0,105,"4,468"
Agawam,,,"7,455","7,924",236,32,615,"16,262"
Alford,,,265,56,2,7,0,330
Amesbury,,,"6,769","3,412",49,10,222,"10,462"
Amherst,,,"10,787",929,55,14,128,"11,913"
Andover,,,"13,854","7,470",137,66,374,"21,901"
Aquinnah,,,311,44,0,0,0,355
Arlington,,,"23,457","4,699",114,16,473,"28,759"
Ashburnham,,,"2,037","1,606",116,12,66,"3,837"
Ashby,,,965,963,66,3,35,"2,032"
Ashfield,,,981,219,10,0,20,"1,230"
Ashland,,,"7,059","3,199",57,0,249,"10,564"
Athol,,,"2,799","2,492",143,7,90,"5,531"
Attleboro,,,"13,738","9,243",141,54,515,"23,691"
Auburn,,,"5,668","4,221",115,11,246,"10,261"
Avon,,,"1,672",969,10,2,70,"2,723"
Ayer,,,"2,944","1,575",22,25,87,"4,653"
Barnstable,,,"16,133","11,842",136,20,553,"28,684"
Barre,,,"1,554","1,462",97,1,53,"3,167"
Becket,,,740,397,19,1,41,"1,198"
Bedford,,,"6,254","2,455",31,12,150,"8,902"
Belchertown,,,"5,819","3,517",80,8,267,"9,691"
Bellingham,,,"5,234","4,366",82,69,182,"9,933"
Belmont,,,"11,789","3,287",78,16,322,"15,492"
Berkley,,,"1,855","2,131",45,8,104,"4,143"
Berlin,,,"1,351",859,29,5,31,"2,275"
Bernardston,,,875,448,21,0,41,"1,385"
Beverly,,,"16,550","7,466",127,3,558,"24,704"
Billerica,,,"13,611","10,399",194,41,533,"24,778"
Blackstone,,,"2,483","2,498",55,3,114,"5,153"
Blandford,,,283,462,19,0,17,781
Bolton,,,"2,403","1,302",30,0,78,"3,813"
Boston,,,"237,503","48,046",426,867,"8,455","295,297"
Bourne,,,"6,443","5,464",59,21,259,"12,246"
Boxborough,,,"2,449",909,26,7,49,"3,440"
Boxford,,,"2,932","2,520",39,5,86,"5,582"
Boylston,,,"1,834","1,413",17,5,52,"3,321"
Braintree,,,"12,626","8,513",87,60,667,"21,953"
Brewster,,,"4,842","2,497",24,5,126,"7,494"
Bridgewater,,,"7,772","6,358",110,4,459,"14,703"
Brimfield,,,"1,061","1,191",29,2,66,"2,349"
Brockton,,,"29,563","7,935",135,18,"1,303","38,954"
Brookfield,,,961,"1,027",21,3,50,"2,062"
Brookline,,,"26,571","4,118",2,89,525,"31,305"
Buckland,,,892,255,8,22,26,"1,203"
Burlington,,,"9,422","5,555",93,20,341,"15,431"
Cambridge,,,"49,842","4,134",116,47,900,"55,039"
Canton,,,"9,063","5,019",58,12,419,"14,571"
Carlisle,,,"2,647",930,31,0,62,"3,670"
Carver,,,"3,342","3,410",70,9,170,"7,001"
Charlemont,,,492,230,11,0,16,749
Charlton,,,"3,651","4,227",86,8,197,"8,169"
Chatham,,,"3,009","2,015",8,9,81,"5,122"
Chelmsford,,,"13,700","8,041",136,12,597,"22,486"
Chelsea,,,"8,157","1,803",31,0,656,"10,647"
Cheshire,,,"1,114",783,14,5,50,"1,966"
Chester,,,308,407,8,4,22,749
Chesterfield,,,490,305,11,0,27,833
Chicopee,,,"14,541","10,262",282,146,695,"25,926"
Chilmark,,,780,126,6,0,12,924
Clarksburg,,,594,371,11,1,25,"1,002"
Clinton,,,"4,722","2,885",82,8,163,"7,860"
Cohasset,,,"3,400","2,187",27,2,111,"5,727"
Colrain,,,659,320,13,0,20,"1,012"
Concord,,,"9,525","2,593",65,20,188,"12,391"
Conway,,,987,285,12,24,0,"1,308"
Cummington,,,408,165,9,1,13,596
Dalton,,,"2,639","1,039",28,2,124,"3,832"
Danvers,,,"9,822","6,744",95,6,395,"17,062"
Dartmouth,,,"10,072","7,280",83,9,535,"17,979"
Dedham,,,"10,504","4,902",55,30,490,"15,981"
Deerfield,,,"2,412",875,29,3,51,"3,370"
Dennis,,,"5,998","4,128",56,20,172,"10,374"
Dighton,,,"2,182","2,318",81,13,149,"4,743"
Douglas,,,"2,461","2,945",69,0,112,"5,587"
Dover,,,"2,300","1,689",4,3,68,"4,064"
Dracut,,,"9,049","8,398",57,0,523,"18,027"
Dudley,,,"2,795","3,133",58,21,108,"6,115"
Dunstable,,,"1,198",928,30,0,47,"2,203"
Duxbury,,,"6,299","4,753",31,5,211,"11,299"
"E. Bridgewater",,,"4,255","4,262",75,3,226,"8,821"
"E. Brookfield",,,625,704,17,0,24,"1,370"
"E. Longmeadow",,,"5,103","4,618",111,2,337,"10,171"
Eastham,,,"2,814","1,223",17,3,60,"4,117"
Easthampton,,,"7,769","2,588",80,9,202,"10,648"
Easton,,,"8,370","5,702",95,19,419,"14,605"
Edgartown,,,"2,116",933,8,0,69,"3,126"
Egremont,,,776,167,4,2,27,976
Erving,,,558,305,41,0,32,936
Essex,,,"1,614",861,9,2,42,"2,528"
Everett,,,"11,107","3,277",65,20,424,"14,893"
Fairhaven,,,"5,216","4,075",58,10,270,"9,629"
"Fall River",,,"18,570","11,467",129,19,"2,015","32,200"
Falmouth,,,"13,671","7,798",85,8,492,"22,054"
Fitchburg,,,"10,016","6,007",195,43,353,"16,614"
Florida,,,217,187,1,0,15,420
Foxborough,,,"6,408","4,656",31,9,321,"11,425"
Framingham,,,"23,567","7,833",177,60,598,"32,235"
Franklin,,,"11,967","7,922",147,23,493,"20,552"
Freetown,,,"2,545","2,785",32,21,150,"5,533"
Gardner,,,"5,333","3,775",167,4,238,"9,517"
Georgetown,,,"3,019","2,450",27,40,79,"5,615"
Gill,,,662,281,24,0,22,989
Gloucester,,,"12,127","5,625",88,41,432,"18,313"
Goshen,,,422,224,7,0,20,673
Gosnold,,,56,23,0,2,1,82
Grafton,,,"7,026","4,202",89,5,209,"11,531"
Granby,,,"2,031","1,714",86,0,146,"3,977"
Granville,,,398,557,12,0,35,"1,002"
"Great Barrington",,,"3,347",669,22,0,89,"4,127"
Greenfield,,,"6,834","2,301",83,14,475,"9,707"
Groton,,,"4,700","2,430",69,3,154,"7,356"
Groveland,,,"2,430","2,049",30,0,57,"4,566"
Hadley,,,"2,481",946,21,1,66,"3,515"
Halifax,,,"2,359","2,377",41,20,96,"4,893"
Hamilton,,,"3,154","1,754",27,1,92,"5,028"
Hampden,,,"1,538","1,713",36,0,88,"3,375"
Hancock,,,282,186,3,1,10,482
Hanover,,,"4,709","4,730",60,7,213,"9,719"
Hanson,,,"3,249","3,352",35,6,157,"6,799"
Hardwick,,,764,710,31,2,27,"1,534"
Harvard,,,"2,977","1,069",34,3,74,"4,157"
Harwich,,,"5,713","3,601",42,11,150,"9,517"
Hatfield,,,"1,575",678,23,0,47,"2,323"
Haverhill,,,"19,381","11,960",346,81,804,"32,572"
Hawley,,,151,73,0,2,5,231
Heath,,,291,158,10,0,11,470
Hingham,,,"9,788","6,232",45,23,298,"16,386"
Hinsdale,,,771,387,10,0,48,"1,216"
Holbrook,,,"3,806","2,206",40,12,194,"6,258"
Holden,,,"7,097","5,236",164,3,236,"12,736"
Holland,,,684,813,20,1,40,"1,558"
Holliston,,,"6,446","2,995",55,8,163,"9,667"
Holyoke,,,"10,987","4,814",99,10,573,"16,483"
Hopedale,,,"2,238","1,454",31,4,74,"3,801"
Hopkinton,,,"6,627","3,480",47,16,184,"10,354"
Hubbardston,,,"1,374","1,340",129,9,91,"2,943"
Hudson,,,"7,332","3,942",107,14,258,"11,653"
Hull,,,"4,384","2,559",33,5,154,"7,135"
Huntington,,,585,594,21,1,22,"1,223"
Ipswich,,,"6,214","3,275",32,17,190,"9,728"
Kingston,,,"4,461","3,866",45,8,189,"8,569"
Lakeville,,,"3,307","3,803",88,0,179,"7,377"
Lancaster,,,"2,334","1,897",60,2,91,"4,384"
Lanesborough,,,"1,209",607,3,8,69,"1,896"
Lawrence,,,"17,449","4,757",63,144,954,"23,367"
Lee,,,"2,377",977,27,3,122,"3,506"
Leicester,,,"3,203","3,039",66,4,141,"6,453"
Lenox,,,"2,621",650,13,2,96,"3,382"
Leominster,,,"12,330","8,451",353,16,524,"21,674"
Leverett,,,"1,196",154,14,0,26,"1,390"
Lexington,,,"15,887","3,871",73,14,323,"20,168"
Leyden,,,332,161,3,0,7,503
