ElectionDate	OfficeCode(Text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyName	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nominated(N)/Elected(E)
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		2142			
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		4848			
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			50			
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			12			
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			11			
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			0			
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		1	W		
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	1	ALCONA	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		2053			
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		3014			
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			41			
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			9			
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			9			
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			2			
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		0	W		
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1415	Hunter	Tara Renee			0	W		
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1413	Simmons	Jade			0	W		
11/3/2020	1	0	0	2	ALGER	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1417	Wells	Kasey			0	W		
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	1	DEM	Democratic	-1401	Biden	Joseph	R.		24449			
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	2	REP	Republican	-1403	Trump	Donald	J.		41392			
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	3	LIB	Libertarian	-1385	Jorgensen	Jo			943			
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	4	UST	US Taxpayers	-1391	Blankenship	Don			118			
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	6	GRN	Green	-1373	Hawkins	Howie			143			
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	7	NLP	Natural Law	-1398	De La Fuente	Rocky			37			
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1414	Carroll	Brian	T.		11	W		
11/3/2020	1	0	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	8	NPA	No  Affiliation	-1416	Hoefling	Tom			0	W		
