County,Office,Candidate,Party,County Total,State Total
Adams,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,7917,539398
Alcorn,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2782,539398
Amite,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2620,539398
Attala,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3542,539398
Benton,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1679,539398
Bolivar,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,8904,539398
Calhoun,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1902,539398
Carroll,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1729,539398
Chickasaw,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3810,539398
Choctaw,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1185,539398
Claiborne,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3772,539398
Clarke,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2838,539398
Clay,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,5844,539398
Coahoma,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,6020,539398
Copiah,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,6470,539398
Covington,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3416,539398
DeSoto,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,28265,539398
Forrest,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,13755,539398
Franklin,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1480,539398
George,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1218,539398
Greene,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,966,539398
Grenada,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4734,539398
Hancock,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4504,539398
Harrison,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,27728,539398
Hinds,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,73550,539398
Holmes,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,6588,539398
Humphreys,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3016,539398
Issaquena,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,355,539398
Itawamba,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1249,539398
Jackson,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,17375,539398
Jasper,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4341,539398
Jeff Davis,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3599,539398
Jefferson,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3327,539398
Jones,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,8517,539398
Kemper,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2887,539398
Lafayette,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,10070,539398
Lamar,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,7340,539398
Lauderdale,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,12960,539398
Lawrence,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2260,539398
Leake,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3897,539398
Lee,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,12189,539398
Leflore,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,7648,539398
Lincoln,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,5040,539398
Lowndes,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,13087,539398
Madison,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,24440,539398
Marion,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3787,539398
Marshall,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,8057,539398
Monroe,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,5874,539398
Montgomery,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2121,539398
Neshoba,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3260,539398
Newton,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3075,539398
Noxubee,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4040,539398
Oktibbeha,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,10299,539398
Panola,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,7403,539398
Pearl River,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4148,539398
Perry,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1362,539398
Pike,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,8646,539398
Pontotoc,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2614,539398
Prentiss,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2153,539398
Quitman,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2150,539398
Rankin,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,18847,539398
Scott,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4330,539398
Sharkey,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1465,539398
Simpson,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4037,539398
Smith,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1791,539398
Stone,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1802,539398
Sunflower,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,6781,539398
Tallahatchie,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3105,539398
Tate,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4183,539398
Tippah,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1937,539398
Tishomingo,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1059,539398
Tunica,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2580,539398
Union,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2160,539398
Walthall,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2835,539398
Warren,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,10442,539398
Washington,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,12503,539398
Wayne,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,3624,539398
Webster,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,1043,539398
Wilkinson,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2749,539398
Winston,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,4040,539398
Yalobusha,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,2785,539398
Yazoo,United States-President,Presidential Electors for Joseph R. Biden Jr. for President and Kamala D. Harris for Vice President,Democrat,5496,539398
Adams,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,5696,756764
Alcorn,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,12818,756764
Amite,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4503,756764
Attala,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,5178,756764
Benton,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,2570,756764
Bolivar,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4671,756764
Calhoun,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4625,756764
Carroll,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,3924,756764
Chickasaw,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4175,756764
Choctaw,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,3001,756764
Claiborne,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,603,756764
Clarke,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,5417,756764
Clay,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4181,756764
Coahoma,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,2375,756764
Copiah,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,6250,756764
Covington,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,5854,756764
DeSoto,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,46462,756764
Forrest,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,17290,756764
Franklin,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,2923,756764
George,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,9713,756764
Greene,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4794,756764
Grenada,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,6081,756764
Hancock,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,16132,756764
Harrison,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,46822,756764
Hinds,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,25141,756764
Holmes,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,1369,756764
Humphreys,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,1118,756764
Issaquena,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,308,756764
Itawamba,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,9438,756764
Jackson,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,36295,756764
Jasper,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4302,756764
Jeff Davis,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,2534,756764
Jefferson,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,531,756764
Jones,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,21226,756764
Kemper,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,1787,756764
Lafayette,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,12949,756764
Lamar,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,20704,756764
Lauderdale,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,17967,756764
Lawrence,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4285,756764
Leake,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,5228,756764
Lee,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,24207,756764
Leflore,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,3129,756764
Lincoln,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,11596,756764
Lowndes,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,13800,756764
Madison,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,31091,756764
Marion,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,8273,756764
Marshall,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,7566,756764
Monroe,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,11177,756764
Montgomery,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,2917,756764
Neshoba,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,8320,756764
Newton,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,6997,756764
Noxubee,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,1240,756764
Oktibbeha,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,9004,756764
Panola,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,8060,756764
Pearl River,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,19595,756764
Perry,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4500,756764
Pike,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,8479,756764
Pontotoc,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,11550,756764
Prentiss,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,8370,756764
Quitman,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,1026,756764
Rankin,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,50895,756764
Scott,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,6285,756764
Sharkey,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,688,756764
Simpson,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,7635,756764
Smith,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,6458,756764
Stone,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,5964,756764
Sunflower,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,2799,756764
Tallahatchie,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,2488,756764
Tate,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,8707,756764
Tippah,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,8054,756764
Tishomingo,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,7933,756764
Tunica,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,926,756764
Union,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,10373,756764
Walthall,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4220,756764
Warren,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,10365,756764
Washington,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,5300,756764
Wayne,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,6307,756764
Webster,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4291,756764
Wilkinson,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,1324,756764
Winston,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,5112,756764
Yalobusha,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,3671,756764
Yazoo,United States-President,Presidential Electors for Donald J. Trump for President and Michael R. Pence for Vice President,Republican,4832,756764
Adams,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,7,1279
Alcorn,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,11,1279
Amite,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,5,1279
Attala,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,15,1279
Benton,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,3,1279
Bolivar,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,7,1279
Calhoun,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,9,1279
Carroll,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,8,1279
Chickasaw,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,11,1279
Choctaw,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,5,1279
Claiborne,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,7,1279
Clarke,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,7,1279
Clay,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,27,1279
Coahoma,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,11,1279
Copiah,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,15,1279
Covington,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,13,1279
DeSoto,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,67,1279
Forrest,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,31,1279
Franklin,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,6,1279
George,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,10,1279
Greene,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,8,1279
Grenada,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,4,1279
Hancock,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,25,1279
Harrison,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,57,1279
Hinds,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,86,1279
Holmes,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,18,1279
Humphreys,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,7,1279
Issaquena,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,5,1279
Itawamba,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,7,1279
Jackson,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,63,1279
Jasper,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,13,1279
Jeff Davis,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,8,1279
Jefferson,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,6,1279
Jones,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,30,1279
Kemper,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,9,1279
Lafayette,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,16,1279
Lamar,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,21,1279
Lauderdale,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,25,1279
Lawrence,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,11,1279
Leake,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,14,1279
Lee,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,30,1279
Leflore,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,13,1279
Lincoln,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,18,1279
Lowndes,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,20,1279
Madison,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,37,1279
Marion,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,12,1279
Marshall,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,23,1279
Monroe,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,20,1279
Montgomery,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,5,1279
Neshoba,United States-President,Presidential Electors for Don Blankenship for President and William Mohr for Vice President,American Constitution,15,1279
