County	Mike Parson, REP	Nicole Galloway, DEM	Rik Combs, LIB	Jerome Howard Bauer, GRE	WRITE-INS, WI	Arnie C. AC Dienoff, WI	Theo Ted Brown Sr, WI	Martin Lindstedt, WI
 	 	 	 	 	 	 	 	 
Adair	6,576	3,542	131	43	11	0	0	0
Andrew	7,195	2,356	140	42	6	0	0	0
Atchison	2,171	533	51	15	0	0	0	0
Audrain	7,638	2,663	232	70	4	0	0	0
Barry	12,356	2,841	242	88	7	0	0	0
Barton	5,114	816	69	33	0	0	0	0
Bates	6,409	1,762	134	51	7	0	0	0
Benton	8,013	2,178	180	56	5	0	0	0
Bollinger	5,059	772	91	21	2	0	0	0
Boone	40,432	47,997	1,704	459	12	0	0	0
Buchanan	22,147	13,225	719	303	0	0	0	0
Butler	14,333	3,349	257	61	0	0	0	0
Caldwell	3,603	961	98	33	6	0	0	0
Callaway	14,949	5,607	461	79	15	0	0	0
Camden	18,809	5,455	325	103	0	0	0	0
Cape Girardeau	29,091	10,257	627	131	28	0	0	0
Carroll	3,671	770	44	13	4	0	0	0
Carter	2,412	401	38	10	5	0	0	0
Cass	37,000	18,755	1,028	319	41	0	0	0
Cedar	5,769	1,102	124	30	0	0	0	0
Chariton	3,099	910	57	5	0	0	0	0
Christian	34,815	10,857	804	166	0	0	0	0
Clark	2,667	648	36	21	0	0	0	0
Clay	64,673	58,337	2,282	686	0	0	0	0
Clinton	7,508	2,999	213	92	8	0	0	0
Cole	26,867	11,719	795	165	0	0	0	0
Cooper	6,224	2,162	234	46	6	0	0	0
Crawford	8,480	2,230	176	46	0	0	0	0
Dade	3,348	668	67	22	0	0	0	0
Dallas	6,645	1,294	114	41	5	0	0	0
Daviess	2,975	775	77	23	3	0	0	0
De Kalb	3,762	930	93	30	3	0	0	0
Dent	5,768	1,141	170	34	0	0	0	0
Douglas	5,772	1,042	117	34	0	0	0	0
Dunklin	7,880	2,281	118	30	11	0	0	0
Franklin	37,118	14,944	926	351	32	0	0	0
Gasconade	6,192	1,537	112	29	0	0	0	0
Gentry	2,538	631	42	8	2	0	0	0
Greene	82,206	51,824	2,798	642	100	0	0	0
Grundy	3,537	821	53	15	2	0	0	0
Harrison	3,139	602	47	12	0	0	0	0
Henry	7,921	2,571	155	56	0	0	0	0
Hickory	4,037	927	66	31	3	0	0	0
Holt	1,928	361	34	10	0	0	0	0
Howard	3,524	1,386	118	36	2	0	0	0
Howell	14,941	3,210	287	84	0	0	0	0
Iron	3,266	1,105	116	44	2	0	0	0
Jackson	100,077	89,141	3,574	1,337	131	0	0	0
Jasper	37,699	13,196	956	286	54	0	0	0
Jefferson	73,921	38,854	2,105	781	0	0	0	0
Johnson	15,306	6,883	640	168	18	0	0	0
Kansas City	28,212	103,439	1,927	1,244	145	0	0	0
Knox	1,516	296	20	4	0	0	0	0
Laclede	13,676	2,746	259	82	0	0	0	0
Lafayette	12,230	4,450	274	70	0	0	0	0
Lawrence	14,171	3,184	347	105	14	0	0	0
Lewis	3,627	879	31	19	0	0	0	0
Lincoln	20,871	7,060	603	170	18	0	0	0
Linn	4,258	1,305	82	25	4	0	0	0
Livingston	5,257	1,331	89	30	0	0	0	0
Macon	6,095	1,575	101	25	5	0	0	0
