County	Donald J. Trump Michael R. Pence, REP	Joseph R. Biden Kamala D. Harris, DEM	Jo Jorgensen Jeremy Spike Cohen, LIB	Howie Hawkins Angela Nicole Walker, GRE	Don Blankenship William Mohr, CST	WRITE-INS, WI	Kasey Wells Rachel Wells, WI	Jade Simmons Claudeliah J. Roze, WI	Brian Carroll Amar Patel, WI	Gloria LaRiva Sunil Freeman, WI
 	 	 	 	 	 	 	 	 	 	 
Adair	6,391	3,705	157	42	13	29	0	0	0	0
Andrew	7,256	2,351	120	19	7	22	0	0	0	0
Atchison	2,199	564	47	3	1	0	0	0	0	0
Audrain	7,727	2,703	175	27	12	16	0	0	0	0
Barry	12,425	2,948	180	27	18	19	0	0	0	0
Barton	5,168	844	47	13	5	0	0	0	0	0
Bates	6,595	1,672	119	14	13	22	0	0	0	0
Benton	8,106	2,179	150	22	12	9	0	0	0	0
Bollinger	5,162	749	51	13	2	4	0	0	0	0
Boone	38,596	49,999	1,957	312	140	196	0	0	0	0
Buchanan	22,450	13,445	529	127	47	0	0	0	0	0
Butler	14,599	3,301	187	41	8	1	0	0	0	0
Caldwell	3,725	897	50	7	3	14	0	0	0	0
Callaway	14,812	5,868	371	64	20	43	0	0	0	0
Camden	18,825	5,640	254	32	23	0	0	0	0	0
Cape Girardeau	28,873	10,738	519	84	38	134	0	0	0	0
Carroll	3,706	785	32	6	2	9	0	0	0	0
Carter	2,451	418	18	6	4	9	0	0	0	0
Cass	37,172	19,035	907	162	79	196	0	0	0	0
Cedar	5,786	1,143	80	13	17	0	0	0	0	0
Chariton	3,109	916	40	4	5	2	0	0	0	0
Christian	34,904	11,126	638	82	54	10	0	0	0	0
Clark	2,672	678	32	12	0	3	0	0	0	0
Clay	64,583	59,519	2,014	324	178	0	0	0	0	0
Clinton	7,789	2,894	150	30	13	18	0	0	0	0
Cole	26,066	12,687	602	84	47	0	0	0	0	0
Cooper	6,272	2,249	139	24	6	20	0	0	0	0
Crawford	8,725	2,113	102	17	16	0	0	0	0	0
Dade	3,414	656	42	5	2	4	0	0	0	0
Dallas	6,620	1,380	72	21	12	17	0	0	0	0
Daviess	3,077	740	46	4	8	9	0	0	0	0
De Kalb	3,827	930	62	9	14	9	0	0	0	0
Dent	5,987	1,056	81	9	9	0	0	0	0	0
Douglas	5,896	1,012	68	4	14	0	0	0	0	0
Dunklin	8,135	2,200	61	11	12	10	0	0	0	0
Franklin	38,034	14,561	815	148	86	108	0	0	0	0
Gasconade	6,222	1,601	83	10	7	0	0	0	0	0
Gentry	2,580	613	34	1	6	5	0	0	0	0
Greene	81,312	53,307	2,377	416	155	507	0	0	0	0
