County	John R. Jay Ashcroft, REP	Yinka Faleti, DEM	Carl Herman Freese, LIB	Paul Lehmann, GRE	Paul Venable, CST
 	 	 	 	 	 
Adair	7,023	2,909	155	79	20
Andrew	7,571	1,689	171	101	58
Atchison	2,259	362	46	24	11
Audrain	8,007	2,115	204	95	43
Barry	12,515	2,420	269	120	57
Barton	5,194	610	80	37	32
Bates	6,523	1,404	168	59	46
Benton	8,157	1,877	172	87	45
Bollinger	5,177	553	73	40	28
Boone	42,507	43,001	1,976	744	388
Buchanan	23,898	10,256	881	544	313
Butler	14,841	2,564	267	86	54
Caldwell	3,649	729	108	49	31
Callaway	15,314	4,866	459	154	52
Camden	19,046	4,605	391	202	120
Cape Girardeau	30,289	8,364	724	202	157
Carroll	3,756	618	56	22	10
Carter	2,432	308	34	12	8
Cass	38,340	16,077	1,210	429	265
Cedar	5,729	969	132	39	33
Chariton	3,183	728	72	14	17
Christian	35,642	9,168	867	257	232
Clark	2,719	484	64	20	15
Clay	68,811	50,420	2,850	1,118	676
Clinton	7,887	2,413	210	102	60
Cole	27,550	10,340	712	324	117
Cooper	6,429	1,839	202	68	36
Crawford	8,699	1,831	173	82	36
Dade	3,374	582	62	36	19
Dallas	6,570	1,148	134	59	55
Daviess	3,092	576	60	31	38
De Kalb	3,870	713	86	37	30
Dent	5,874	894	138	61	34
Douglas	5,830	824	100	55	45
Dunklin	8,232	1,702	123	68	45
Franklin	38,386	12,231	1,129	482	256
Gasconade	6,308	1,273	127	51	15
Gentry	2,571	460	54	30	27
Greene	85,757	45,561	3,103	1,180	528
Grundy	3,662	625	52	18	15
Harrison	3,257	429	44	18	13
Henry	8,048	2,158	174	78	69
Hickory	3,977	876	71	27	22
Holt	2,018	234	31	14	7
Howard	3,610	1,120	165	68	1
Howell	15,151	2,641	290	127	91
Iron	3,493	789	80	41	30
Jackson	104,912	78,648	4,347	1,724	1,155
Jasper	39,179	10,890	1,061	434	136
Jefferson	77,122	31,989	2,583	1,102	730
Johnson	15,913	5,840	623	214	180
Kansas City	29,996	98,771	2,626	1,450	610
Knox	1,529	209	19	8	3
Laclede	13,911	2,298	272	119	68
Lafayette	12,588	3,781	283	131	59
Lawrence	14,407	2,642	308	127	94
Lewis	3,674	661	85	22	15
Lincoln	21,472	5,735	639	212	208
Linn	4,394	1,025	100	35	23
Livingston	5,468	1,004	85	23	13
Macon	6,291	1,249	114	34	40
Madison	4,586	776	116	45	45
Maries	3,934	690	60	22	6
Marion	10,385	2,342	262	90	42
McDonald	7,418	1,213	158	63	27
Mercer	1,534	174	20	4	4
Miller	10,234	1,592	201	99	44
Mississippi	3,601	816	77	59	34
Moniteau	5,798	1,080	104	43	23
Monroe	3,566	654	83	22	20
Montgomery	4,551	989	78	41	11
Morgan	7,436	1,555	170	101	44
New Madrid	5,508	1,359	101	56	42
Newton	22,674	4,592	500	186	62
Nodaway	7,310	2,130	153	70	27
Oregon	3,791	696	65	29	17
Osage	6,400	830	72	41	9
Ozark	3,952	652	83	35	34
Pemiscot	4,064	1,312	70	34	9
Perry	7,675	1,198	152	62	9
Pettis	14,115	3,725	436	224	183
Phelps	13,839	4,828	403	129	62
Pike	5,931	1,466	102	57	21
Platte	31,808	24,267	1,080	424	301
Polk	12,107	2,381	287	84	41
Pulaski	10,464	3,089	332	147	73
Putnam	2,023	226	25	10	7
Ralls	4,485	922	99	29	19
Randolph	8,200	2,007	228	75	76
Ray	8,235	2,626	258	111	83
Reynolds	2,545	449	54	28	16
Ripley	4,784	647	78	31	41
Saline	6,714	2,351	176	71	53
Schuyler	1,620	255	38	15	9
Scotland	1,620	235	27	12	11
Scott	14,012	3,050	210	71	107
Shannon	3,068	619	50	27	19
Shelby	2,753	405	51	22	14
St. Charles	135,407	74,295	4,264	1,642	701
St. Clair	3,944	852	72	20	34
St. Francois	20,447	5,858	550	269	162
St. Louis	224,949	284,625	7,179	3,916	1,820
St. Louis City	25,281	100,666	2,334	1,229	327
Ste. Genevieve	6,472	2,326	174	76	53
Stoddard	11,526	1,323	185	80	45
Stone	14,804	2,935	242	77	66
Sullivan	2,000	365	27	12	8
Taney	20,493	4,423	459	181	143
Texas	9,361	1,496	153	71	76
Vernon	7,255	1,504	144	74	37
Warren	13,281	4,107	450	137	49
Washington	7,746	1,576	168	82	66
Wayne	4,912	680	66	26	31
Webster	14,897	2,936	353	143	139
Worth	885	162	26	5	1
Wright	7,390	991	121	46	29
