County	Scott Fitzpatrick, REP	Vicki Lorenz Englund, DEM	Nicholas Nick Kasoff, LIB	Joseph Civettini, GRE
 	 	 	 	 
Adair	6,588	3,238	182	72
Andrew	7,183	2,076	159	52
Atchison	2,136	467	58	12
Audrain	7,765	2,318	233	61
Barry	12,962	2,178	210	60
Barton	5,032	761	88	27
Bates	6,254	1,669	167	37
Benton	7,950	2,046	202	59
Bollinger	5,011	699	74	29
Boone	41,566	43,168	2,326	604
Buchanan	22,396	11,770	977	312
Butler	14,337	2,971	272	68
Caldwell	3,522	816	131	39
Callaway	15,045	5,087	474	96
Camden	18,582	5,009	415	131
Cape Girardeau	29,303	9,311	676	172
Carroll	3,625	708	49	22
Carter	2,352	356	42	12
Cass	36,930	17,402	1,308	363
Cedar	5,556	1,076	151	31
Chariton	3,030	825	68	11
Christian	35,349	9,284	998	172
Clark	2,577	607	66	18
Clay	65,569	53,111	3,282	983
Clinton	7,592	2,663	247	67
Cole	27,293	10,530	763	177
Cooper	6,363	1,915	217	39
Crawford	8,525	1,937	182	65
Dade	3,330	598	75	24
Dallas	6,496	1,215	141	50
Daviess	2,905	720	90	24
De Kalb	3,691	838	122	29
Dent	5,814	951	151	30
Douglas	5,784	846	129	35
Dunklin	7,899	1,965	170	52
Franklin	37,262	13,153	1,224	356
Gasconade	6,193	1,337	116	33
Gentry	2,464	552	57	10
Greene	84,712	46,226	3,444	881
Grundy	3,527	714	67	18
Harrison	3,143	499	41	20
Henry	7,791	2,402	182	49
Hickory	3,893	958	59	31
Holt	1,925	300	40	9
Howard	3,499	1,211	136	29
Howell	15,013	2,743	338	85
Iron	3,334	940	88	25
Jackson	100,216	82,768	5,159	1,540
Jasper	37,930	11,858	1,158	331
Jefferson	73,919	34,852	2,745	821
Johnson	15,569	6,204	762	148
Kansas City	29,052	99,116	3,109	1,524
Knox	1,403	290	28	7
Laclede	13,685	2,478	330	86
Lafayette	12,114	4,167	322	85
Lawrence	14,415	2,674	309	80
Lewis	3,467	847	70	17
Lincoln	20,923	6,294	776	176
Linn	4,192	1,231	90	16
Livingston	5,192	1,177	91	21
Macon	6,010	1,500	115	37
Madison	4,399	954	115	35
Maries	3,806	765	67	12
Marion	9,829	2,864	242	63
McDonald	7,262	1,344	156	48
Mercer	1,510	183	21	3
Miller	10,046	1,698	228	57
Mississippi	3,428	975	92	40
Moniteau	5,756	1,085	118	15
Monroe	3,331	846	89	21
Montgomery	4,414	1,049	104	29
Morgan	7,536	1,718	183	60
New Madrid	5,266	1,597	104	41
Newton	22,092	5,100	512	125
Nodaway	6,947	2,421	200	47
Oregon	3,716	746	74	16
Osage	6,345	844	77	10
Ozark	3,936	650	77	29
Pemiscot	3,905	1,447	68	20
Perry	7,373	1,426	152	8
Pettis	13,368	4,431	522	134
Phelps	13,514	4,997	456	110
Pike	5,773	1,597	107	32
Platte	30,959	24,951	1,312	354
Polk	11,936	2,447	311	45
Pulaski	10,150	3,341	417	95
Putnam	1,941	291	27	11
Ralls	4,240	1,157	85	19
Randolph	7,971	2,221	251	56
Ray	7,808	2,971	317	89
Reynolds	2,458	529	62	21
Ripley	4,582	812	93	32
Saline	6,276	2,702	220	56
Schuyler	1,502	337	57	12
Scotland	1,536	305	32	14
Scott	13,648	3,444	228	40
Shannon	2,993	653	62	22
Shelby	2,590	535	52	15
St. Charles	131,455	77,015	4,940	1,078
St. Clair	3,867	941	75	14
St. Francois	19,695	6,644	579	173
St. Louis	216,348	288,811	10,127	3,343
St. Louis City	24,537	100,407	2,747	1,269
Ste. Genevieve	6,138	2,542	164	80
Stoddard	11,197	1,641	165	64
Stone	14,751	2,948	250	49
Sullivan	1,915	451	23	6
Taney	20,213	4,625	527	129
Texas	9,215	1,599	184	54
Vernon	6,990	1,774	148	42
Warren	12,935	4,358	460	103
Washington	7,526	1,777	170	65
Wayne	4,778	798	71	18
Webster	14,569	3,148	433	97
Worth	840	191	22	8
Wright	7,299	1,060	141	38
