County	Blaine Luetkemeyer, REP	Megan Rezabek, DEM	Leonard J Steinman II, LIB	WRITE-INS, WI	Thomas Tom Clapp, WI
 	 	 	 	 	 
Callaway	15,346	4,972	450	62	0
Camden	11,637	3,114	248	0	0
Cole	27,659	10,378	1,000	0	0
Franklin	38,261	13,024	1,062	44	0
Gasconade	6,351	1,315	107	0	0
Jefferson	39,327	19,216	1,325	0	0
Lincoln	21,437	6,137	663	16	0
Maries	3,883	740	80	2	0
Miller	10,287	1,687	206	5	0
Montgomery	4,545	1,021	82	0	0
Osage	6,468	807	102	3	0
St. Charles	83,940	49,212	2,622	152	0
Warren	13,283	4,286	381	16	0


