County	Sam Graves, REP	Gena L. Ross, DEM	Jim Higgins, LIB
 	 	 	 
Adair	6,793	3,215	194
Andrew	7,420	2,002	217
Atchison	2,257	444	72
Audrain	1,628	427	52
Buchanan	23,523	11,659	1,008
Caldwell	3,693	768	142
Carroll	3,772	639	55
Chariton	3,174	782	60
Clark	2,660	587	72
Clay	52,532	34,634	1,928
Clinton	7,912	2,548	257
Daviess	3,098	633	82
De Kalb	3,839	820	115
Gentry	2,590	535	63
Grundy	3,662	661	74
Harrison	3,250	496	42
Holt	2,002	264	52
Jackson	28,660	18,420	1,091
Knox	1,513	252	29
Lewis	3,614	782	73
Linn	4,411	1,090	109
Livingston	5,535	1,039	90
Macon	6,191	1,412	108
Marion	10,166	2,742	220
Mercer	1,544	181	19
Monroe	3,450	798	85
Nodaway	7,235	2,370	170
Pike	5,813	1,572	126
Platte	31,778	24,843	1,242
Putnam	2,013	272	26
Ralls	4,369	194	96
Schuyler	1,624	290	40
Scotland	1,614	277	30
Shelby	2,703	502	50
Sullivan	1,992	411	33
Worth	865	192	30
