County	Jason Smith, REP	Kathy Ellis, DEM	Tom Schmitz, LIB
 	 	 	 
Bollinger	5,016	790	73
Butler	14,368	3,154	289
Cape Girardeau	28,993	10,019	734
Carter	2,378	392	35
Crawford	8,620	2,052	171
Dent	5,884	1,042	154
Douglas	5,769	937	127
Dunklin	7,978	2,074	129
Howell	14,932	3,023	309
Iron	3,358	985	82
Jefferson	20,940	9,362	777
Madison	4,411	1,082	95
Mississippi	3,457	1,077	81
New Madrid	5,326	1,676	87
Oregon	3,713	817	84
Ozark	3,976	706	62
Pemiscot	3,950	1,484	62
Perry	7,374	1,618	133
Phelps	13,549	5,289	454
Reynolds	2,546	546	64
Ripley	4,654	840	70
Scott	13,547	3,671	227
Shannon	3,038	717	43
St. Francois	19,500	7,170	576
Ste. Genevieve	6,167	2,704	178
Stoddard	11,292	1,733	155
Texas	9,278	1,696	161
Washington	7,472	1,915	219
Wayne	4,819	821	85
Wright	7,341	1,112	130
