ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:29:21 PM,1,1971,0.00778417573043293,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:29:21 PM,1,136782,0.540200469183195,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:29:21 PM,1,4632,0.018293405369541,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:29:21 PM,1,991,0.00391380930941605,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:29:21 PM,1,423,0.00167057652662259,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:29:21 PM,1,108407,0.428137563880793,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:29:21 PM,1,274,0.00111278525275252,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:29:21 PM,1,132629,0.538640858712824,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:29:21 PM,1,4658,0.0189173492967928,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:29:21 PM,1,3884,0.0157739340207693,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:29:21 PM,1,104784,0.425555072716861,662/1333,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","","","","US REPRESENTATIVE, 3RD DISTRICT",4,,9901,"Write-in",11/10/2020 9:29:21 PM,1,65,0.00104558762024258,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","DEMOCRAT, WORKING FAMILIES","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100067959,"EARL BLUMENAUER",11/10/2020 9:29:21 PM,1,26256,0.422353054724447,136/136,
