ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:29:52 PM,1,167,0.0045773489748931,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:29:52 PM,1,14024,0.384387676789826,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:29:52 PM,1,560,0.0153491941673062,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:29:52 PM,1,167,0.0045773489748931,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:29:52 PM,1,78,0.00213792347330337,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:29:52 PM,1,21488,0.588970507619779,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:29:52 PM,1,21,0.000590750534488579,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:29:52 PM,1,14666,0.41256892089569,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:29:52 PM,1,655,0.0184257904804771,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:29:52 PM,1,449,0.0126308090469225,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:29:52 PM,1,19757,0.555783729042421,662/1333,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","","","","US REPRESENTATIVE, 4TH DISTRICT",4,,9901,"Write-in",11/10/2020 9:29:52 PM,1,26,0.000723166356075988,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100066717,"PETER DEFAZIO",11/10/2020 9:29:52 PM,1,14535,0.404277807137096,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","PACIFIC GREEN","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100072491,"DANIEL HOFFAY",11/10/2020 9:29:52 PM,1,792,0.0220287597696993,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100066720,"ALEK SKARLATOS",11/10/2020 9:29:52 PM,1,20600,0.572970266737129,64/285,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:29:52 PM,1,24,0.000687265542223877,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:29:52 PM,1,12121,0.347097734887317,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:29:52 PM,1,1008,0.0288651527734028,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:29:52 PM,1,894,0.0256006414478394,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:29:52 PM,1,20874,0.597749205349217,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:29:52 PM,1,20,0.000575026594980018,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:29:52 PM,1,1041,0.0299301342687099,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:29:52 PM,1,12956,0.372502228228056,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:29:52 PM,1,1382,0.0397343377131192,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:29:52 PM,1,19382,0.557258273195135,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:29:52 PM,1,104,0.00300413067968457,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:29:52 PM,1,13623,0.393512233166758,662/1333,
