ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:30:24 PM,1,22,0.00478989767036795,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:30:24 PM,1,928,0.202046592640975,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:30:24 PM,1,77,0.0167646418462878,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:30:24 PM,1,12,0.00261267145656434,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:30:24 PM,1,10,0.00217722621380361,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:30:24 PM,1,3544,0.771608970172001,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:30:24 PM,1,5,0.00110864745011086,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:30:24 PM,1,1117,0.247671840354767,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:30:24 PM,1,89,0.0197339246119734,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:30:24 PM,1,27,0.00598669623059867,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:30:24 PM,1,3272,0.72549889135255,662/1333,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","","","","US REPRESENTATIVE, 2ND DISTRICT",3,,9901,"Write-in",11/10/2020 9:30:24 PM,1,5,0.0011059500110595,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066710,"ALEX SPENSER",11/10/2020 9:30:24 PM,1,709,0.156823711568237,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100072720,"ROBERT WERCH",11/10/2020 9:30:24 PM,1,120,0.026542800265428,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066698,"CLIFF BENTZ",11/10/2020 9:30:24 PM,1,3687,0.815527538155275,157/381,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:30:24 PM,1,6,0.00134288272157565,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:30:24 PM,1,835,0.186884512085945,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:30:24 PM,1,125,0.0279767233661594,662/1333,
