ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:29:36 PM,1,292,0.00568557965652868,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:29:36 PM,1,18311,0.356536469488687,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:29:36 PM,1,781,0.0152069784648935,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:29:36 PM,1,218,0.00424471357918922,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:29:36 PM,1,116,0.00225865493204564,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:29:36 PM,1,31640,0.616067603878656,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:29:36 PM,1,63,0.0012613117642348,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:29:36 PM,1,18587,0.372127012092576,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:29:36 PM,1,970,0.0194201970048851,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:29:36 PM,1,771,0.0154360534956355,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:29:36 PM,1,29557,0.591755425642668,662/1333,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","","","","US REPRESENTATIVE, 2ND DISTRICT",3,,9901,"Write-in",11/10/2020 9:29:36 PM,1,93,0.00298086477130677,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066710,"ALEX SPENSER",11/10/2020 9:29:36 PM,1,9721,0.31158049937498,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100072720,"ROBERT WERCH",11/10/2020 9:29:36 PM,1,1069,0.0342639187153434,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066698,"CLIFF BENTZ",11/10/2020 9:29:36 PM,1,20316,0.65117471713837,157/381,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","","","","US REPRESENTATIVE, 4TH DISTRICT",4,,9901,"Write-in",11/10/2020 9:29:36 PM,1,29,0.00158236481693676,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100066717,"PETER DEFAZIO",11/10/2020 9:29:36 PM,1,6779,0.369891417034976,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","PACIFIC GREEN","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100072491,"DANIEL HOFFAY",11/10/2020 9:29:36 PM,1,505,0.0275549735363125,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100066720,"ALEK SKARLATOS",11/10/2020 9:29:36 PM,1,11014,0.600971244611775,64/285,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:29:36 PM,1,55,0.00111729573802462,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:29:36 PM,1,15576,0.316418153008573,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:29:36 PM,1,1332,0.0270588713281599,662/1333,
