ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:29:35 PM,1,199,0.00631385240180214,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:29:35 PM,1,13535,0.429437147027096,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:29:35 PM,1,763,0.024208388857161,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:29:35 PM,1,157,0.00498128053810521,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:29:35 PM,1,85,0.00269687162891046,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:29:35 PM,1,16779,0.532362459546926,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:29:35 PM,1,39,0.00125993409575499,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:29:35 PM,1,14076,0.454739290560186,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:29:35 PM,1,739,0.0238741358144343,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:29:35 PM,1,490,0.0158299412030755,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:29:35 PM,1,15610,0.504296698326549,662/1333,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","","","","US REPRESENTATIVE, 1ST DISTRICT",3,,9901,"Write-in",11/10/2020 9:29:35 PM,1,81,0.00264110339430695,67/245,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","DEMOCRAT, WORKING FAMILIES","","","US REPRESENTATIVE, 1ST DISTRICT",3,,300024797,"SUZANNE BONAMICI",11/10/2020 9:29:35 PM,1,14545,0.474257393459193,67/245,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 1ST DISTRICT",3,,100069241,"CHRISTOPHER C CHRISTENSEN",11/10/2020 9:29:35 PM,1,16043,0.5231015031465,67/245,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:29:35 PM,1,30,0.000983832354966714,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:29:35 PM,1,11957,0.3921227822779,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:29:35 PM,1,1081,0.0354507591906339,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:29:35 PM,1,916,0.030039681238317,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:29:35 PM,1,16509,0.541402944938183,662/1333,
