ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:29:59 PM,1,69,0.00454995054401583,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:29:59 PM,1,3715,0.244971974942301,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:29:59 PM,1,221,0.0145730300032971,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:29:59 PM,1,41,0.00270359380151665,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:29:59 PM,1,16,0.00105506099571381,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:29:59 PM,1,11103,0.732146389713155,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:29:59 PM,1,24,0.00161344537815126,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:29:59 PM,1,4046,0.272,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:29:59 PM,1,237,0.0159327731092437,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:29:59 PM,1,114,0.00766386554621849,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:29:59 PM,1,10454,0.702789915966387,662/1333,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","","","","US REPRESENTATIVE, 2ND DISTRICT",3,,9901,"Write-in",11/10/2020 9:29:59 PM,1,18,0.00122490643075876,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066710,"ALEX SPENSER",11/10/2020 9:29:59 PM,1,3068,0.208778496087104,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100072720,"ROBERT WERCH",11/10/2020 9:29:59 PM,1,361,0.0245661789724396,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066698,"CLIFF BENTZ",11/10/2020 9:29:59 PM,1,11248,0.765430418509697,157/381,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:29:59 PM,1,18,0.00121959482349753,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:29:59 PM,1,3304,0.223863405379768,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:29:59 PM,1,370,0.0250694491496714,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:29:59 PM,1,217,0.0147028931499424,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:29:59 PM,1,10850,0.73514465749712,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:29:59 PM,1,20,0.00136528090654652,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:29:59 PM,1,463,0.031606252986552,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:29:59 PM,1,3435,0.234486995699365,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:29:59 PM,1,377,0.0257355450884019,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:29:59 PM,1,10354,0.706805925319134,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:29:59 PM,1,57,0.00390304026294166,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:29:59 PM,1,3643,0.249452204875377,662/1333,
100043004,"ATTORNEY GENERAL","LIBERTARIAN","","","STATEWIDE PARTISAN",8,,100072718,"LARS D H HEDBOR",11/10/2020 9:29:59 PM,1,293,0.0200629964393317,662/1333,
100043004,"ATTORNEY GENERAL","REPUBLICAN","","","STATEWIDE PARTISAN",8,,100069989,"MICHAEL CROSS",11/10/2020 9:29:59 PM,1,10611,0.72658175842235,662/1333,
100043019,"STATE SENATOR, 28TH DISTRICT","","","","SD 28",9,,9901,"Write-in",11/10/2020 9:29:59 PM,1,27,0.00185873605947955,30/95,
100043019,"STATE SENATOR, 28TH DISTRICT","DEMOCRAT, INDEPENDENT","","","SD 28",9,,100068186,"HUGH PALCIC",11/10/2020 9:29:59 PM,1,3363,0.23151590251962,30/95,
100043019,"STATE SENATOR, 28TH DISTRICT","REPUBLICAN","","","SD 28",9,,300027626,"DENNIS LINTHICUM",11/10/2020 9:29:59 PM,1,11136,0.7666253614209,30/95,
100043385,"CROOK COUNTY SHERIFF","","","","CROOK COUNTY",11,,9901,"Write-in",11/10/2020 9:29:59 PM,1,251,0.021058813658864,17/17,
100043385,"CROOK COUNTY SHERIFF","NONPARTISAN","","","CROOK COUNTY",11,,300027820,"JOHN W GAUTNEY",11/10/2020 9:29:59 PM,1,11668,0.978941186341136,17/17,
100043391,"CITY OF PRINEVILLE, MAYOR","","","","CITY OF PRINEVILLE",12,,9901,"Write-in",11/10/2020 9:29:59 PM,1,167,0.038550323176362,12/12,
100043391,"CITY OF PRINEVILLE, MAYOR","NONPARTISAN","","","CITY OF PRINEVILLE",12,,100072792,"RODNEY JASON BEEBE",11/10/2020 9:29:59 PM,1,4165,0.961449676823638,12/12,
100043390,"CITY OF PRINEVILLE, CITY COUNCIL MEMBER","","","","CITY OF PRINEVILLE",13,,9901,"Write-in",11/10/2020 9:29:59 PM,3,171,0.0181702263308894,12/12,
100043390,"CITY OF PRINEVILLE, CITY COUNCIL MEMBER","NONPARTISAN","","","CITY OF PRINEVILLE",13,,100072789,"RAYMOND LAW",11/10/2020 9:29:59 PM,3,3039,0.322919987248964,12/12,
100043390,"CITY OF PRINEVILLE, CITY COUNCIL MEMBER","NONPARTISAN","","","CITY OF PRINEVILLE",13,,100072790,"GAIL MERRITT",11/10/2020 9:29:59 PM,3,3200,0.340027627244714,12/12,
100043390,"CITY OF PRINEVILLE, CITY COUNCIL MEMBER","NONPARTISAN","","","CITY OF PRINEVILLE",13,,100072791,"STEPHEN UFFELMAN",11/10/2020 9:29:59 PM,3,3001,0.318882159175433,12/12,
100043087,"STATE REPRESENTATIVE, 55TH DISTRICT","","","","HD 55",14,,9901,"Write-in",11/10/2020 9:29:59 PM,1,41,0.00277608504299546,30/49,
100043087,"STATE REPRESENTATIVE, 55TH DISTRICT","DEMOCRAT","","","HD 55",14,,100068700,"BARBARA FONTAINE",11/10/2020 9:29:59 PM,1,3262,0.220868034396371,30/49,
100043087,"STATE REPRESENTATIVE, 55TH DISTRICT","REPUBLICAN","","","HD 55",14,,100066623,"VIKKI BREESE-IVERSON",11/10/2020 9:29:59 PM,1,11466,0.776355880560634,30/49,
100043387,"CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR ZONE 1","","","","CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT",14,,9901,"Write-in",11/10/2020 9:29:59 PM,1,1343,1,17/17,
100043387,"CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR ZONE 1","NONPARTISAN","","","CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT",14,,100073065,"NO CANDIDATE FILED",11/10/2020 9:29:59 PM,1,0,0,17/17,
100043388,"CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR ZONE 2","","","","CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT",15,,9901,"Write-in",11/10/2020 9:29:59 PM,1,121,0.0122333434435345,17/17,
100043388,"CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR ZONE 2","NONPARTISAN","","","CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT",15,,100073066,"GARY BEDORTHA",11/10/2020 9:29:59 PM,1,9770,0.987766656556465,17/17,
100043386,"CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR AT LARGE 1","","","","CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT",16,,9901,"Write-in",11/10/2020 9:29:59 PM,1,119,0.0120750887874176,17/17,
100043386,"CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR AT LARGE 1","NONPARTISAN","","","CROOK COUNTY SOIL AND WATER CONSERVATION DISTRICT",16,,100073067,"WILLIAM SIGMAN",11/10/2020 9:29:59 PM,1,9736,0.987924911212582,17/17,
100043027,"JUDGE OF THE SUPREME COURT, POSITION 4","","","","STATEWIDE NONPARTISAN",33,,9901,"Write-in",11/10/2020 9:29:59 PM,1,306,0.0319983268848688,662/1333,
100043027,"JUDGE OF THE SUPREME COURT, POSITION 4","NONPARTISAN INCUMBENT","","","STATEWIDE NONPARTISAN",33,,100072442,"CHRISTOPHER L GARRETT",11/10/2020 9:29:59 PM,1,9257,0.968001673115131,662/1333,
100042920,"JUDGE OF THE COURT OF APPEALS, POSITION 9","","","","STATEWIDE NONPARTISAN",34,,9901,"Write-in",11/10/2020 9:29:59 PM,1,279,0.0296682262866865,662/1333,
100042920,"JUDGE OF THE COURT OF APPEALS, POSITION 9","NONPARTISAN INCUMBENT","","","STATEWIDE NONPARTISAN",34,,100072495,"JACQUELINE S KAMINS",11/10/2020 9:29:59 PM,1,9125,0.970331773713313,662/1333,
100002117,"MEASURE 107 AMENDS CONSTITUTION: ALLOWS LAWS LIMITING POLITICAL CAMPAIGN CONTRIBUTIONS AND EXPENDITURES, REQUIRING DISCLOSURE OF POLITICAL CAMPAIGN CONTRIBUTIONS AND EXPENDITURES, AND REQUIRING POLITICAL CAMPAIGN ADVERTISEMENTS TO IDENTIFY WHO PAID FOR THEM","","","","STATEWIDE NONPARTISAN",76,,1,"YES",11/10/2020 9:29:59 PM,1,9671,0.666643689253464,662/1333,
100002117,"MEASURE 107 AMENDS CONSTITUTION: ALLOWS LAWS LIMITING POLITICAL CAMPAIGN CONTRIBUTIONS AND EXPENDITURES, REQUIRING DISCLOSURE OF POLITICAL CAMPAIGN CONTRIBUTIONS AND EXPENDITURES, AND REQUIRING POLITICAL CAMPAIGN ADVERTISEMENTS TO IDENTIFY WHO PAID FOR THEM","","","","STATEWIDE NONPARTISAN",76,,2,"NO",11/10/2020 9:29:59 PM,1,4836,0.333356310746536,662/1333,
100002118,"MEASURE 108 INCREASES CIGARETTE AND CIGAR TAXES. ESTABLISHES TAX ON E-CIGARETTES AND NICOTINE VAPING DEVICES. FUNDS HEALTH PROGRAMS.","","","","STATEWIDE NONPARTISAN",77,,1,"YES",11/10/2020 9:29:59 PM,1,7031,0.47311755601911,662/1333,
100002118,"MEASURE 108 INCREASES CIGARETTE AND CIGAR TAXES. ESTABLISHES TAX ON E-CIGARETTES AND NICOTINE VAPING DEVICES. FUNDS HEALTH PROGRAMS.","","","","STATEWIDE NONPARTISAN",77,,2,"NO",11/10/2020 9:29:59 PM,1,7830,0.52688244398089,662/1333,
100002119,"MEASURE 109 ALLOWS MANUFACTURE, DELIVERY, ADMINISTRATION OF PSILOCYBIN AT SUPERVISED, LICENSED FACILITIES; IMPOSES TWO-YEAR DEVELOPMENT PERIOD","","","","STATEWIDE NONPARTISAN",78,,1,"YES",11/10/2020 9:29:59 PM,1,5178,0.352965235173824,662/1333,
100002119,"MEASURE 109 ALLOWS MANUFACTURE, DELIVERY, ADMINISTRATION OF PSILOCYBIN AT SUPERVISED, LICENSED FACILITIES; IMPOSES TWO-YEAR DEVELOPMENT PERIOD","","","","STATEWIDE NONPARTISAN",78,,2,"NO",11/10/2020 9:29:59 PM,1,9492,0.647034764826176,662/1333,
100002121,"MEASURE 110 PROVIDES STATEWIDE ADDICTION/RECOVERY SERVICES; MARIJUANA TAXES PARTIALLY FINANCE; RECLASSIFIES POSSESSION/PENALTIES FOR SPECIFIED DRUGS","","","","STATEWIDE NONPARTISAN",79,,1,"YES",11/10/2020 9:29:59 PM,1,5315,0.363468508513985,662/1333,
