ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:30:04 PM,1,70,0.00471602775719194,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:30:04 PM,1,6023,0.405780502593815,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:30:04 PM,1,227,0.0152934042983224,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:30:04 PM,1,61,0.00410968133126726,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:30:04 PM,1,21,0.00141480832715758,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:30:04 PM,1,8441,0.568685575692246,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:30:04 PM,1,7,0.000481795030628398,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:30:04 PM,1,6136,0.42232775827655,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:30:04 PM,1,268,0.0184458668869158,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:30:04 PM,1,168,0.0115630807350816,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:30:04 PM,1,7950,0.547181499070824,662/1333,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","","","","US REPRESENTATIVE, 4TH DISTRICT",4,,9901,"Write-in",11/10/2020 9:30:04 PM,1,3,0.000205704882062534,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100066717,"PETER DEFAZIO",11/10/2020 9:30:04 PM,1,5983,0.410244103126714,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","PACIFIC GREEN","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100072491,"DANIEL HOFFAY",11/10/2020 9:30:04 PM,1,323,0.0221475589687329,64/285,
100043002,"US REPRESENTATIVE, 4TH DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 4TH DISTRICT",4,,100066720,"ALEK SKARLATOS",11/10/2020 9:30:04 PM,1,8275,0.56740263302249,64/285,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:30:04 PM,1,6,0.000419023674837628,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:30:04 PM,1,5282,0.368880508415392,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:30:04 PM,1,364,0.0254207696068161,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:30:04 PM,1,333,0.0232558139534884,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:30:04 PM,1,8334,0.582023884349466,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:30:04 PM,1,1,7.03680247695447E-05,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:30:04 PM,1,372,0.0261769052142706,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:30:04 PM,1,5449,0.383435366969249,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:30:04 PM,1,513,0.0360987967067764,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:30:04 PM,1,7876,0.554218563084934,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:30:04 PM,1,10,0.000703037120359955,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:30:04 PM,1,5797,0.407550618672666,662/1333,
100043004,"ATTORNEY GENERAL","LIBERTARIAN","","","STATEWIDE PARTISAN",8,,100072718,"LARS D H HEDBOR",11/10/2020 9:30:04 PM,1,310,0.0217941507311586,662/1333,
100043004,"ATTORNEY GENERAL","REPUBLICAN","","","STATEWIDE PARTISAN",8,,100069989,"MICHAEL CROSS",11/10/2020 9:30:04 PM,1,8107,0.569952193475815,662/1333,
100043007,"STATE SENATOR, 1ST DISTRICT","","","","SD 01",8,,9901,"Write-in",11/10/2020 9:30:04 PM,1,9,0.000637077935867488,38/65,
100043007,"STATE SENATOR, 1ST DISTRICT","DEMOCRAT","","","SD 01",8,,100069240,"KAT STONE",11/10/2020 9:30:04 PM,1,5451,0.385856869823742,38/65,
100043007,"STATE SENATOR, 1ST DISTRICT","REPUBLICAN","","","SD 01",8,,100063773,"DALLAS HEARD",11/10/2020 9:30:04 PM,1,8667,0.613506052240391,38/65,
100043033,"STATE REPRESENTATIVE, 1ST DISTRICT","","","","HD 01",10,,9901,"Write-in",11/10/2020 9:30:04 PM,1,22,0.0015426688170535,37/47,
100043033,"STATE REPRESENTATIVE, 1ST DISTRICT","DEMOCRAT","","","HD 01",10,,100068485,"CALLA FELICITY",11/10/2020 9:30:04 PM,1,5174,0.362807657247037,37/47,
100043033,"STATE REPRESENTATIVE, 1ST DISTRICT","REPUBLICAN","","","HD 01",10,,300027661,"DAVID BROCK SMITH",11/10/2020 9:30:04 PM,1,9065,0.635649673935909,37/47,
100042613,"CURRY COUNTY COMMISSIONER, POSITION 2","","","","CURRY",11,,9901,"Write-in",11/10/2020 9:30:04 PM,1,47,0.00364256374486554,27/27,
100042613,"CURRY COUNTY COMMISSIONER, POSITION 2","NONPARTISAN","","","CURRY",11,,100072211,"SUE GOLD",11/10/2020 9:30:04 PM,1,5989,0.464155622723398,27/27,
100042613,"CURRY COUNTY COMMISSIONER, POSITION 2","NONPARTISAN","","","CURRY",11,,100072340,"JOHN HERZOG",11/10/2020 9:30:04 PM,1,6867,0.532201813531737,27/27,
100042612,"CURRY COUNTY CLERK","","","","CURRY",12,,9901,"Write-in",11/10/2020 9:30:04 PM,1,30,0.00241060666934512,27/27,
100042612,"CURRY COUNTY CLERK","NONPARTISAN","","","CURRY",12,,100033987,"RENEE' KOLEN",11/10/2020 9:30:04 PM,1,9174,0.737163519485737,27/27,
100042612,"CURRY COUNTY CLERK","NONPARTISAN","","","CURRY",12,,100072339,"EMMA DEROCK",11/10/2020 9:30:04 PM,1,3241,0.260425873844918,27/27,
100042614,"CURRY COUNTY SHERIFF","","","","CURRY",13,,9901,"Write-in",11/10/2020 9:30:04 PM,1,432,0.0405900591938363,27/27,
100042614,"CURRY COUNTY SHERIFF","NONPARTISAN","","","CURRY",13,,100055623,"JOHN WARD",11/10/2020 9:30:04 PM,1,10211,0.959409940806164,27/27,
100042615,"CURRY COUNTY TREASURER","","","","CURRY",14,,9901,"Write-in",11/10/2020 9:30:04 PM,1,37,0.00309002839485552,27/27,
100042615,"CURRY COUNTY TREASURER","NONPARTISAN","","","CURRY",14,,100072341,"TERRY C HANSCAM",11/10/2020 9:30:04 PM,1,6566,0.548354768665442,27/27,
100042615,"CURRY COUNTY TREASURER","NONPARTISAN","","","CURRY",14,,100072342,"ELIZABETH NEKETIN",11/10/2020 9:30:04 PM,1,5371,0.448555202939703,27/27,
100042626,"CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR, ZONE 2","","","","CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT",15,,9901,"Write-in",11/10/2020 9:30:04 PM,1,84,0.00938337801608579,27/27,
100042626,"CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR, ZONE 2","NONPARTISAN","","","CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT",15,,100073070,"JEFFREY KNOX",11/10/2020 9:30:04 PM,1,8868,0.990616621983914,27/27,
100042625,"CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR, ZONE 3","","","","CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT",16,,9901,"Write-in",11/10/2020 9:30:04 PM,1,71,0.0082721659093557,27/27,
100042625,"CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR, ZONE 3","NONPARTISAN","","","CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT",16,,100073072,"LYNNE DEWALD",11/10/2020 9:30:04 PM,1,8512,0.991727834090644,27/27,
100042624,"CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT, DIRECTOR, AT LARGE 1","","","","CURRY COUNTY SOIL AND WATER CONSERVATION DISTRICT",17,,9901,"Write-in",11/10/2020 9:30:04 PM,1,80,0.00897464662328921,27/27,
