ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:30:00 PM,1,20,0.00461254612546125,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:30:00 PM,1,788,0.181734317343173,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:30:00 PM,1,62,0.0142988929889299,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:30:00 PM,1,10,0.00230627306273063,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:30:00 PM,1,7,0.00161439114391144,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:30:00 PM,1,3449,0.795433579335793,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:30:00 PM,1,4,0.000943618778013682,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:30:00 PM,1,903,0.213021939136589,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:30:00 PM,1,61,0.0143901863647087,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:30:00 PM,1,29,0.0068412361405992,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:30:00 PM,1,3242,0.76480301958009,662/1333,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","","","","US REPRESENTATIVE, 2ND DISTRICT",3,,9901,"Write-in",11/10/2020 9:30:00 PM,1,7,0.00165445521153392,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066710,"ALEX SPENSER",11/10/2020 9:30:00 PM,1,616,0.145592058614985,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100072720,"ROBERT WERCH",11/10/2020 9:30:00 PM,1,89,0.0210352162609312,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066698,"CLIFF BENTZ",11/10/2020 9:30:00 PM,1,3519,0.83171826991255,157/381,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:30:00 PM,1,2,0.000475511174512601,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:30:00 PM,1,683,0.162387066096053,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:30:00 PM,1,92,0.0218735140275796,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:30:00 PM,1,45,0.0106990014265335,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:30:00 PM,1,3384,0.804564907275321,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:30:00 PM,1,2,0.000479961603071754,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:30:00 PM,1,151,0.0362371010319174,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:30:00 PM,1,684,0.16414686825054,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:30:00 PM,1,99,0.0237580993520518,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:30:00 PM,1,3231,0.775377969762419,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:30:00 PM,1,9,0.00216658642272508,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:30:00 PM,1,761,0.183196918632643,662/1333,
100043004,"ATTORNEY GENERAL","LIBERTARIAN","","","STATEWIDE PARTISAN",8,,100072718,"LARS D H HEDBOR",11/10/2020 9:30:00 PM,1,70,0.0168512277323062,662/1333,
100043004,"ATTORNEY GENERAL","REPUBLICAN","","","STATEWIDE PARTISAN",8,,100069989,"MICHAEL CROSS",11/10/2020 9:30:00 PM,1,3314,0.797785267212325,662/1333,
100043019,"STATE SENATOR, 28TH DISTRICT","","","","SD 28",9,,9901,"Write-in",11/10/2020 9:30:00 PM,1,8,0.00210194429847609,30/95,
100043019,"STATE SENATOR, 28TH DISTRICT","DEMOCRAT, INDEPENDENT","","","SD 28",9,,100068186,"HUGH PALCIC",11/10/2020 9:30:00 PM,1,656,0.172359432475039,30/95,
100043019,"STATE SENATOR, 28TH DISTRICT","REPUBLICAN","","","SD 28",9,,300027626,"DENNIS LINTHICUM",11/10/2020 9:30:00 PM,1,3142,0.825538623226485,30/95,
100043088,"STATE REPRESENTATIVE, 56TH DISTRICT","","","","HD 56",10,,9901,"Write-in",11/10/2020 9:30:00 PM,1,4,0.00170212765957447,0/47,
100043088,"STATE REPRESENTATIVE, 56TH DISTRICT","DEMOCRAT","","","HD 56",10,,100069491,"FAITH N LEITH",11/10/2020 9:30:00 PM,1,404,0.171914893617021,0/47,
100043088,"STATE REPRESENTATIVE, 56TH DISTRICT","REPUBLICAN","","","HD 56",10,,300027745,"E WERNER RESCHKE",11/10/2020 9:30:00 PM,1,1942,0.826382978723404,0/47,
100043021,"STATE SENATOR, 30TH DISTRICT","","","","SD 30",11,,9901,"Write-in",11/10/2020 9:30:00 PM,1,0,0,56/95,
100043021,"STATE SENATOR, 30TH DISTRICT","DEMOCRAT","","","SD 30",11,,100068174,"CARINA M MILLER",11/10/2020 9:30:00 PM,1,46,0.115869017632242,56/95,
100043021,"STATE SENATOR, 30TH DISTRICT","REPUBLICAN","","","SD 30",11,,100066620,"LYNN P FINDLEY",11/10/2020 9:30:00 PM,1,351,0.884130982367758,56/95,
100043092,"STATE REPRESENTATIVE, 60TH DISTRICT","","","","HD 60",11,,9901,"Write-in",11/10/2020 9:30:00 PM,1,0,0,44/55,
100043092,"STATE REPRESENTATIVE, 60TH DISTRICT","DEMOCRAT, WORKING FAMILIES","","","HD 60",11,,100069016,"BETH E SPELL",11/10/2020 9:30:00 PM,1,45,0.116279069767442,44/55,
100043092,"STATE REPRESENTATIVE, 60TH DISTRICT","REPUBLICAN, LIBERTARIAN","","","HD 60",11,,100066856,"MARK OWENS",11/10/2020 9:30:00 PM,1,342,0.883720930232558,44/55,
100042560,"COUNTY CLERK","","","","LAKE",14,,9901,"Write-in",11/10/2020 9:30:00 PM,1,47,0.0142857142857143,0/19,
100042560,"COUNTY CLERK","NONPARTISAN","","","LAKE",14,,100071907,"STACIE GEANEY",11/10/2020 9:30:00 PM,1,3243,0.985714285714286,0/19,
100043087,"STATE REPRESENTATIVE, 55TH DISTRICT","","","","HD 55",14,,9901,"Write-in",11/10/2020 9:30:00 PM,1,6,0.004149377593361,30/49,
100043087,"STATE REPRESENTATIVE, 55TH DISTRICT","DEMOCRAT","","","HD 55",14,,100068700,"BARBARA FONTAINE",11/10/2020 9:30:00 PM,1,239,0.165283540802213,30/49,
100043087,"STATE REPRESENTATIVE, 55TH DISTRICT","REPUBLICAN","","","HD 55",14,,100066623,"VIKKI BREESE-IVERSON",11/10/2020 9:30:00 PM,1,1201,0.830567081604426,30/49,
100042561,"TREASURER","","","","LAKE",15,,9901,"Write-in",11/10/2020 9:30:00 PM,1,36,0.0114503816793893,0/19,
100042561,"TREASURER","NONPARTISAN","","","LAKE",15,,100071908,"ANN CRUMRINE",11/10/2020 9:30:00 PM,1,3108,0.988549618320611,0/19,
100042564,"CITY OF PAISLEY, COUNCIL (Vote For 3)","","","","CITY OF PAISLEY",16,,9901,"Write-in",11/10/2020 9:30:00 PM,3,23,0.0592783505154639,0/1,
100042564,"CITY OF PAISLEY, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF PAISLEY",16,,100072320,"KRISSY L FUNK",11/10/2020 9:30:00 PM,3,104,0.268041237113402,0/1,
100042564,"CITY OF PAISLEY, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF PAISLEY",16,,100072337,"RALPH PAULL",11/10/2020 9:30:00 PM,3,143,0.368556701030928,0/1,
100042564,"CITY OF PAISLEY, COUNCIL (Vote For 3)","NONPARTISAN","","","CITY OF PAISLEY",16,,100072568,"RUTH E ROBINSON",11/10/2020 9:30:00 PM,3,118,0.304123711340206,0/1,
100042562,"TOWN OF LAKEVIEW, MAYOR","","","","TOWN OF LAKEVIEW",17,,9901,"Write-in",11/10/2020 9:30:00 PM,1,10,0.00881834215167548,0/5,
100042562,"TOWN OF LAKEVIEW, MAYOR","NONPARTISAN","","","TOWN OF LAKEVIEW",17,,100071909,"RAY TURNER",11/10/2020 9:30:00 PM,1,627,0.552910052910053,0/5,
100042562,"TOWN OF LAKEVIEW, MAYOR","NONPARTISAN","","","TOWN OF LAKEVIEW",17,,100072638,"DARWIN JOHNSON JR",11/10/2020 9:30:00 PM,1,497,0.438271604938272,0/5,
100042563,"TOWN OF LAKEVIEW, COUNCIL (Vote For 2)","","","","TOWN OF LAKEVIEW",18,,9901,"Write-in",11/10/2020 9:30:00 PM,2,28,0.0154952960708356,0/5,
100042563,"TOWN OF LAKEVIEW, COUNCIL (Vote For 2)","NONPARTISAN","","","TOWN OF LAKEVIEW",18,,100072478,"SANDRA WENZEL",11/10/2020 9:30:00 PM,2,430,0.237963475373547,0/5,
100042563,"TOWN OF LAKEVIEW, COUNCIL (Vote For 2)","NONPARTISAN","","","TOWN OF LAKEVIEW",18,,100072531,"SHANNON THEALL",11/10/2020 9:30:00 PM,2,582,0.322080796900941,0/5,
100042563,"TOWN OF LAKEVIEW, COUNCIL (Vote For 2)","NONPARTISAN","","","TOWN OF LAKEVIEW",18,,100072619,"GERALD 'JAY' FARMEN",11/10/2020 9:30:00 PM,2,767,0.424460431654676,0/5,
100042589,"FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT, AT-LARGE 1","","","","FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT",19,,9901,"Write-in",11/10/2020 9:30:00 PM,1,119,1,0/4,
100042589,"FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT, AT-LARGE 1","NONPARTISAN","","","FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT",19,,100072945,"NO CANDIDATE FILED",11/10/2020 9:30:00 PM,1,0,0,0/4,
100042590,"FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT, AT-LARGE 2","","","","FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT",20,,9901,"Write-in",11/10/2020 9:30:00 PM,1,9,0.0101237345331834,0/4,
100042590,"FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT, AT-LARGE 2","NONPARTISAN","","","FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT",20,,100072946,"LEON BAKER",11/10/2020 9:30:00 PM,1,880,0.989876265466817,0/4,
100042591,"FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT, ZONE 1","","","","FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT",21,,9901,"Write-in",11/10/2020 9:30:00 PM,1,14,0.0167064439140811,0/4,
100042591,"FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT, ZONE 1","NONPARTISAN","","","FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT",21,,100072943,"SCOTT DUFFNER",11/10/2020 9:30:00 PM,1,824,0.983293556085919,0/4,
100042592,"FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT, ZONE 3","","","","FORT ROCK/SILVER LAKE SOIL AND WATER DISTRICT",22,,9901,"Write-in",11/10/2020 9:30:00 PM,1,12,0.0148883374689826,0/4,
