ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:30:11 PM,1,138,0.00453335961367892,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:30:11 PM,1,17248,0.566604250845899,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:30:11 PM,1,450,0.0147826943924313,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:30:11 PM,1,206,0.0067671889885352,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:30:11 PM,1,63,0.00206957721494038,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:30:11 PM,1,12336,0.405242928944516,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:30:11 PM,1,24,0.000801603206412826,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:30:11 PM,1,17347,0.57939211756847,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:30:11 PM,1,530,0.0177020708082832,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:30:11 PM,1,512,0.0171008684034736,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:30:11 PM,1,11527,0.38500334001336,662/1333,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","","","","US REPRESENTATIVE, 5TH DISTRICT",5,,9901,"Write-in",11/10/2020 9:30:11 PM,1,37,0.0012466307277628,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 5TH DISTRICT",5,,300025018,"KURT SCHRADER",11/10/2020 9:30:11 PM,1,16787,0.565599730458221,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 5TH DISTRICT",5,,100072722,"MATTHEW JAMES RIX",11/10/2020 9:30:11 PM,1,856,0.0288409703504043,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 5TH DISTRICT",5,,100066723,"AMY RYAN COURSER",11/10/2020 9:30:11 PM,1,12000,0.404312668463612,243/291,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:30:11 PM,1,10,0.000339385711861531,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:30:11 PM,1,15181,0.51522144917699,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:30:11 PM,1,823,0.027931444086204,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:30:11 PM,1,1044,0.0354318683183438,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:30:11 PM,1,12407,0.421075852706601,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:30:11 PM,1,17,0.000579670610700038,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:30:11 PM,1,664,0.0226412520885191,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:30:11 PM,1,15613,0.532376308521158,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:30:11 PM,1,1494,0.050942817199168,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:30:11 PM,1,11539,0.393459951580455,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:30:11 PM,1,55,0.00187559678079389,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:30:11 PM,1,16718,0.570113217842041,662/1333,
100043004,"ATTORNEY GENERAL","LIBERTARIAN","","","STATEWIDE PARTISAN",8,,100072718,"LARS D H HEDBOR",11/10/2020 9:30:11 PM,1,660,0.0225071613695267,662/1333,
100043004,"ATTORNEY GENERAL","REPUBLICAN","","","STATEWIDE PARTISAN",8,,100069989,"MICHAEL CROSS",11/10/2020 9:30:11 PM,1,11891,0.405504024007639,662/1333,
100043009,"STATE SENATOR, 5TH DISTRICT","","","","SD 05",8,,9901,"Write-in",11/10/2020 9:30:11 PM,1,23,0.00078077262543282,21/62,
100043009,"STATE SENATOR, 5TH DISTRICT","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","SD 05",8,,100066730,"MELISSA T CRIBBINS",11/10/2020 9:30:11 PM,1,15866,0.538597325005092,21/62,
100043009,"STATE SENATOR, 5TH DISTRICT","PACIFIC GREEN","","","SD 05",8,,100072699,"SHAULEEN HIGGINS",11/10/2020 9:30:11 PM,1,1238,0.0420259352298187,21/62,
100043009,"STATE SENATOR, 5TH DISTRICT","REPUBLICAN","","","SD 05",8,,100066729,"DICK ANDERSON",11/10/2020 9:30:11 PM,1,12331,0.418595967139656,21/62,
100043041,"STATE REPRESENTATIVE, 10TH DISTRICT","","","","HD 10",10,,9901,"Write-in",11/10/2020 9:30:11 PM,1,32,0.0011279123048183,13/47,
100043041,"STATE REPRESENTATIVE, 10TH DISTRICT","DEMOCRAT, INDEPENDENT","","","HD 10",10,,300025042,"DAVID GOMBERG",11/10/2020 9:30:11 PM,1,16155,0.569419477635614,13/47,
100043041,"STATE REPRESENTATIVE, 10TH DISTRICT","REPUBLICAN","","","HD 10",10,,100068696,"MAX SHERMAN",11/10/2020 9:30:11 PM,1,12184,0.429452610059568,13/47,
100043040,"STATE REPRESENTATIVE, 9TH DISTRICT","","","","HD 09",12,,9901,"Write-in",11/10/2020 9:30:11 PM,1,0,0,8/16,
100043040,"STATE REPRESENTATIVE, 9TH DISTRICT","DEMOCRAT, WORKING FAMILIES","","","HD 09",12,,100068816,"CAL MUKUMOTO",11/10/2020 9:30:11 PM,1,538,0.764204545454545,8/16,
100043040,"STATE REPRESENTATIVE, 9TH DISTRICT","REPUBLICAN, LIBERTARIAN","","","HD 09",12,,100066750,"BOOMER WRIGHT",11/10/2020 9:30:11 PM,1,166,0.235795454545455,8/16,
100043170,"JUDGE OF THE CIRCUIT COURT, 17TH DISTRICT, POSITION 2","","","","CIRCUIT COURT DISTRICT 17",12,,9901,"Write-in",11/10/2020 9:30:11 PM,1,96,0.00376249265138154,0/32,
100043170,"JUDGE OF THE CIRCUIT COURT, 17TH DISTRICT, POSITION 2","NONPARTISAN INCUMBENT","","","CIRCUIT COURT DISTRICT 17",12,,100072505,"MARCIA BUCKLEY",11/10/2020 9:30:11 PM,1,12781,0.500921026846953,0/32,
100043170,"JUDGE OF THE CIRCUIT COURT, 17TH DISTRICT, POSITION 2","NONPARTISAN","","","CIRCUIT COURT DISTRICT 17",12,,100072504,"AMANDA BENJAMIN",11/10/2020 9:30:11 PM,1,12638,0.495316480501666,0/32,
100043177,"DISTRICT ATTORNEY, LINCOLN COUNTY","","","","DISTRICT ATTORNEY, LINCOLN COUNTY",13,,9901,"Write-in",11/10/2020 9:30:11 PM,1,400,0.0198166955660144,0/32,
100043177,"DISTRICT ATTORNEY, LINCOLN COUNTY","NONPARTISAN","","","DISTRICT ATTORNEY, LINCOLN COUNTY",13,,100072514,"LANEE DANFORTH",11/10/2020 9:30:11 PM,1,19785,0.980183304433986,0/32,
100043419,"LINCOLN COUNTY COMMISSIONER, POSITION 2","","","","LINCOLN",14,,9901,"Write-in",11/10/2020 9:30:11 PM,1,118,0.00450433255716303,0/32,
100043419,"LINCOLN COUNTY COMMISSIONER, POSITION 2","NONPARTISAN","","","LINCOLN",14,,100072642,"CLAIRE HALL",11/10/2020 9:30:11 PM,1,14474,0.552506012138794,0/32,
100043419,"LINCOLN COUNTY COMMISSIONER, POSITION 2","NONPARTISAN","","","LINCOLN",14,,100072643,"JOE HITSELBERGER",11/10/2020 9:30:11 PM,1,11605,0.442989655304042,0/32,
100043392,"LINCOLN COUNTY SHERIFF","","","","LINCOLN",15,,9901,"Write-in",11/10/2020 9:30:11 PM,1,322,0.0152823920265781,0/32,
100043392,"LINCOLN COUNTY SHERIFF","NONPARTISAN","","","LINCOLN",15,,100056016,"CURTIS LANDERS",11/10/2020 9:30:11 PM,1,20748,0.984717607973422,0/32,
100043396,"CITY OF DEPOE BAY, MAYOR","","","","CITY OF DEPOE BAY",16,,9901,"Write-in",11/10/2020 9:30:11 PM,1,3,0.00294985250737463,0/1,
100043396,"CITY OF DEPOE BAY, MAYOR","NONPARTISAN","","","CITY OF DEPOE BAY",16,,100073376,"JEROME GRANT",11/10/2020 9:30:11 PM,1,392,0.385447394296952,0/1,
100043396,"CITY OF DEPOE BAY, MAYOR","NONPARTISAN","","","CITY OF DEPOE BAY",16,,100073377,"KATHY M SHORT",11/10/2020 9:30:11 PM,1,622,0.611602753195674,0/1,
100043393,"CITY OF DEPOE BAY, COUNCIL MEMBER, POSITION 1","","","","CITY OF DEPOE BAY",17,,9901,"Write-in",11/10/2020 9:30:11 PM,1,12,0.0161507402422611,0/1,
100043393,"CITY OF DEPOE BAY, COUNCIL MEMBER, POSITION 1","NONPARTISAN","","","CITY OF DEPOE BAY",17,,100073378,"AUTUMN J WATSON",11/10/2020 9:30:11 PM,1,731,0.983849259757739,0/1,
100043394,"CITY OF DEPOE BAY, COUNCIL MEMBER, POSITION 2","","","","CITY OF DEPOE BAY",18,,9901,"Write-in",11/10/2020 9:30:11 PM,1,12,0.0158730158730159,0/1,
100043394,"CITY OF DEPOE BAY, COUNCIL MEMBER, POSITION 2","NONPARTISAN","","","CITY OF DEPOE BAY",18,,100073379,"LINDSY BEDINGFIELD",11/10/2020 9:30:11 PM,1,744,0.984126984126984,0/1,
