ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:29:20 PM,1,3524,0.00763674740439438,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:29:20 PM,1,365787,0.792685278890808,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:29:20 PM,1,5661,0.0122677715823713,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:29:20 PM,1,2945,0.00638201506979042,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:29:20 PM,1,1126,0.00244011849527471,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:29:20 PM,1,82410,0.178588068557361,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:29:20 PM,1,507,0.00112081105159489,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:29:20 PM,1,355455,0.785794659456926,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:29:20 PM,1,6700,0.014811506993463,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:29:20 PM,1,11551,0.0255354801912674,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:29:20 PM,1,78138,0.172737542306749,662/1333,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","","","","US REPRESENTATIVE, 1ST DISTRICT",3,,9901,"Write-in",11/10/2020 9:29:20 PM,1,74,0.00187337029442293,67/245,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","DEMOCRAT, WORKING FAMILIES","","","US REPRESENTATIVE, 1ST DISTRICT",3,,300024797,"SUZANNE BONAMICI",11/10/2020 9:29:20 PM,1,33808,0.855877066403382,67/245,
100042999,"US REPRESENTATIVE, 1ST DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 1ST DISTRICT",3,,100069241,"CHRISTOPHER C CHRISTENSEN",11/10/2020 9:29:20 PM,1,5619,0.142249563302195,67/245,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","","","","US REPRESENTATIVE, 3RD DISTRICT",4,,9901,"Write-in",11/10/2020 9:29:20 PM,1,629,0.001551462172935,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","DEMOCRAT, WORKING FAMILIES","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100067959,"EARL BLUMENAUER",11/10/2020 9:29:20 PM,1,315667,0.77860955444177,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100072721,"JOSH SOLOMON",11/10/2020 9:29:20 PM,1,5679,0.0140075575200284,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","PACIFIC GREEN","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100072490,"ALEX C DIBLASI",11/10/2020 9:29:20 PM,1,8115,0.0200160819290422,136/136,
100043001,"US REPRESENTATIVE, 3RD DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 3RD DISTRICT",4,,100068689,"JOANNA HARBOUR",11/10/2020 9:29:20 PM,1,75334,0.185815343936225,136/136,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","","","","US REPRESENTATIVE, 5TH DISTRICT",5,,9901,"Write-in",11/10/2020 9:29:20 PM,1,13,0.00270382695507488,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 5TH DISTRICT",5,,300025018,"KURT SCHRADER",11/10/2020 9:29:20 PM,1,3461,0.719841930116473,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 5TH DISTRICT",5,,100072722,"MATTHEW JAMES RIX",11/10/2020 9:29:20 PM,1,117,0.0243344425956739,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 5TH DISTRICT",5,,100066723,"AMY RYAN COURSER",11/10/2020 9:29:20 PM,1,1217,0.253119800332779,243/291,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:29:20 PM,1,593,0.00134279859153335,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:29:20 PM,1,320750,0.726311379821791,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:29:20 PM,1,10104,0.0228796576203254,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:29:20 PM,1,21764,0.0492827462835275,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:29:20 PM,1,88404,0.200183417682823,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:29:20 PM,1,500,0.00114329616858588,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:29:20 PM,1,5772,0.0131982109701554,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:29:20 PM,1,318599,0.728506032030586,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:29:20 PM,1,23787,0.0543911719243046,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:29:20 PM,1,88674,0.202761288906369,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:29:20 PM,1,1453,0.00331565592025996,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:29:20 PM,1,345689,0.788840866771332,662/1333,
100043004,"ATTORNEY GENERAL","LIBERTARIAN","","","STATEWIDE PARTISAN",8,,100072718,"LARS D H HEDBOR",11/10/2020 9:29:20 PM,1,7896,0.0180181824820183,662/1333,
100043004,"ATTORNEY GENERAL","REPUBLICAN","","","STATEWIDE PARTISAN",8,,100069989,"MICHAEL CROSS",11/10/2020 9:29:20 PM,1,83186,0.18982529482639,662/1333,
100043012,"STATE SENATOR, 14TH DISTRICT","","","","SD 14",9,,9901,"Write-in",11/10/2020 9:29:20 PM,1,1,0.00070323488045007,2/27,
100043012,"STATE SENATOR, 14TH DISTRICT","DEMOCRAT, WORKING FAMILIES","","","SD 14",9,,100066736,"KATE LIEBER",11/10/2020 9:29:20 PM,1,1066,0.749648382559775,2/27,
100043012,"STATE SENATOR, 14TH DISTRICT","REPUBLICAN, LIBERTARIAN","","","SD 14",9,,100068933,"HARMONY K MULKEY",11/10/2020 9:29:20 PM,1,355,0.249648382559775,2/27,
100043013,"STATE SENATOR, 18TH DISTRICT","","","","SD 18",10,,9901,"Write-in",11/10/2020 9:29:20 PM,1,1081,0.0269710578842315,14/25,
100043013,"STATE SENATOR, 18TH DISTRICT","DEMOCRAT","","","SD 18",10,,300021441,"GINNY BURDICK",11/10/2020 9:29:20 PM,1,38999,0.973028942115769,14/25,
100043051,"STATE SENATOR, 21ST DISTRICT","","","","SD 21",11,,9901,"Write-in",11/10/2020 9:29:20 PM,1,1029,0.0186792041823991,21/21,
100043051,"STATE SENATOR, 21ST DISTRICT","DEMOCRAT, WORKING FAMILIES","","","SD 21",11,,300027577,"KATHLEEN TAYLOR",11/10/2020 9:29:20 PM,1,54059,0.981320795817601,21/21,
100043015,"STATE SENATOR, 22ND DISTRICT","","","","SD 22",12,,9901,"Write-in",11/10/2020 9:29:20 PM,1,1439,0.0200660968025323,11/11,
100043015,"STATE SENATOR, 22ND DISTRICT","DEMOCRAT","","","SD 22",12,,300027578,"LEW FREDERICK",11/10/2020 9:29:20 PM,1,70274,0.979933903197468,11/11,
100043016,"STATE SENATOR, 23RD DISTRICT","","","","SD 23",13,,9901,"Write-in",11/10/2020 9:29:20 PM,1,1901,0.0300187913528195,17/17,
