ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:29:44 PM,1,85,0.00508221225710015,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:29:44 PM,1,7956,0.475695067264574,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:29:44 PM,1,258,0.0154260089686099,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:29:44 PM,1,88,0.00526158445440957,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:29:44 PM,1,32,0.00191330343796712,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:29:44 PM,1,8306,0.496621823617339,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:29:44 PM,1,12,0.000730104648332928,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:29:44 PM,1,8220,0.500121684108055,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:29:44 PM,1,267,0.0162448284254076,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:29:44 PM,1,211,0.012837673399854,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:29:44 PM,1,7726,0.47006570941835,662/1333,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","","","","US REPRESENTATIVE, 5TH DISTRICT",5,,9901,"Write-in",11/10/2020 9:29:44 PM,1,21,0.00128542572075656,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 5TH DISTRICT",5,,300025018,"KURT SCHRADER",11/10/2020 9:29:44 PM,1,7868,0.48160617004346,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 5TH DISTRICT",5,,100072722,"MATTHEW JAMES RIX",11/10/2020 9:29:44 PM,1,390,0.0238721919569076,243/291,
100043003,"US REPRESENTATIVE, 5TH DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 5TH DISTRICT",5,,100066723,"AMY RYAN COURSER",11/10/2020 9:29:44 PM,1,8058,0.493236212278876,243/291,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:29:44 PM,1,16,0.000989609104403761,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:29:44 PM,1,7087,0.438334982681841,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:29:44 PM,1,415,0.0256679861454725,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:29:44 PM,1,442,0.0273379515091539,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:29:44 PM,1,8208,0.507669470559129,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:29:44 PM,1,10,0.0006232859636001,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:29:44 PM,1,430,0.0268012964348043,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:29:44 PM,1,7298,0.454874096235353,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:29:44 PM,1,625,0.0389553727250062,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:29:44 PM,1,7681,0.478745948641237,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:29:44 PM,1,33,0.00206043956043956,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:29:44 PM,1,7804,0.487262737262737,662/1333,
100043004,"ATTORNEY GENERAL","LIBERTARIAN","","","STATEWIDE PARTISAN",8,,100072718,"LARS D H HEDBOR",11/10/2020 9:29:44 PM,1,351,0.0219155844155844,662/1333,
100043004,"ATTORNEY GENERAL","REPUBLICAN","","","STATEWIDE PARTISAN",8,,100069989,"MICHAEL CROSS",11/10/2020 9:29:44 PM,1,7828,0.488761238761239,662/1333,
100043009,"STATE SENATOR, 5TH DISTRICT","","","","SD 05",8,,9901,"Write-in",11/10/2020 9:29:44 PM,1,5,0.000918273645546373,21/62,
100043009,"STATE SENATOR, 5TH DISTRICT","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","SD 05",8,,100066730,"MELISSA T CRIBBINS",11/10/2020 9:29:44 PM,1,2419,0.444260789715335,21/62,
100043009,"STATE SENATOR, 5TH DISTRICT","PACIFIC GREEN","","","SD 05",8,,100072699,"SHAULEEN HIGGINS",11/10/2020 9:29:44 PM,1,148,0.0271808999081726,21/62,
100043009,"STATE SENATOR, 5TH DISTRICT","REPUBLICAN","","","SD 05",8,,100066729,"DICK ANDERSON",11/10/2020 9:29:44 PM,1,2873,0.527640036730946,21/62,
100043041,"STATE REPRESENTATIVE, 10TH DISTRICT","","","","HD 10",10,,9901,"Write-in",11/10/2020 9:29:44 PM,1,13,0.00237877401646844,13/47,
100043041,"STATE REPRESENTATIVE, 10TH DISTRICT","DEMOCRAT, INDEPENDENT","","","HD 10",10,,300025042,"DAVID GOMBERG",11/10/2020 9:29:44 PM,1,2396,0.438426349496798,13/47,
100043041,"STATE REPRESENTATIVE, 10TH DISTRICT","REPUBLICAN","","","HD 10",10,,100068696,"MAX SHERMAN",11/10/2020 9:29:44 PM,1,3056,0.559194876486734,13/47,
100042768,"TILLAMOOK COUNTY CLERK","","","","TILLAMOOK",12,,9901,"Write-in",11/10/2020 9:29:44 PM,1,130,0.0103958416633347,29/29,
100042768,"TILLAMOOK COUNTY CLERK","NONPARTISAN","","","TILLAMOOK",12,,300027503,"TASSI (MILLS) O'NEIL",11/10/2020 9:29:44 PM,1,12375,0.989604158336665,29/29,
100042769,"TILLAMOOK COUNTY SHERIFF","","","","TILLAMOOK",13,,9901,"Write-in",11/10/2020 9:29:44 PM,1,90,0.00594098620370982,29/29,
