ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100042835,"PRESIDENT AND VICE PRESIDENT","","","","FEDERAL",1,,9901,"Write-in",11/10/2020 9:30:22 PM,1,5,0.00519210799584631,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","DEMOCRAT","","","FEDERAL",1,,100072440,"JOSEPH R BIDEN / KAMALA D HARRIS",11/10/2020 9:30:22 PM,1,216,0.224299065420561,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","LIBERTARIAN","","","FEDERAL",1,,100072563,"JO JORGENSEN / JEREMY (SPIKE) COHEN",11/10/2020 9:30:22 PM,1,25,0.0259605399792316,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PACIFIC GREEN","","","FEDERAL",1,,100072488,"HOWIE HAWKINS / ANGELA WALKER",11/10/2020 9:30:22 PM,1,2,0.00207684319833853,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","PROGRESSIVE","","","FEDERAL",1,,100072689,"DARIO HUNTER / DAWN NEPTUNE ADAMS",11/10/2020 9:30:22 PM,1,5,0.00519210799584631,662/1333,
100042835,"PRESIDENT AND VICE PRESIDENT","REPUBLICAN","","","FEDERAL",1,,100072439,"DONALD J TRUMP / MICHAEL R PENCE",11/10/2020 9:30:22 PM,1,710,0.737279335410177,662/1333,
100043097,"US SENATOR","","","","FEDERAL",2,,9901,"Write-in",11/10/2020 9:30:22 PM,1,0,0,662/1333,
100043097,"US SENATOR","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","FEDERAL",2,,100042963,"JEFF MERKLEY",11/10/2020 9:30:22 PM,1,262,0.281720430107527,662/1333,
100043097,"US SENATOR","LIBERTARIAN","","","FEDERAL",2,,100072719,"GARY DYE",11/10/2020 9:30:22 PM,1,16,0.0172043010752688,662/1333,
100043097,"US SENATOR","PACIFIC GREEN, PROGRESSIVE","","","FEDERAL",2,,100072489,"IBRAHIM A TAHER",11/10/2020 9:30:22 PM,1,8,0.00860215053763441,662/1333,
100043097,"US SENATOR","REPUBLICAN","","","FEDERAL",2,,100066692,"JO RAE PERKINS",11/10/2020 9:30:22 PM,1,644,0.69247311827957,662/1333,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","","","","US REPRESENTATIVE, 2ND DISTRICT",3,,9901,"Write-in",11/10/2020 9:30:22 PM,1,1,0.00107642626480086,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","DEMOCRAT","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066710,"ALEX SPENSER",11/10/2020 9:30:22 PM,1,172,0.185145317545748,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","LIBERTARIAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100072720,"ROBERT WERCH",11/10/2020 9:30:22 PM,1,18,0.0193756727664155,157/381,
100043000,"US REPRESENTATIVE, 2ND DISTRICT","REPUBLICAN","","","US REPRESENTATIVE, 2ND DISTRICT",3,,100066698,"CLIFF BENTZ",11/10/2020 9:30:22 PM,1,738,0.794402583423035,157/381,
100043005,"SECRETARY OF STATE","","","","STATEWIDE PARTISAN",6,,9901,"Write-in",11/10/2020 9:30:22 PM,1,1,0.00107411385606874,662/1333,
100043005,"SECRETARY OF STATE","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",6,,100068483,"SHEMIA FAGAN",11/10/2020 9:30:22 PM,1,210,0.225563909774436,662/1333,
100043005,"SECRETARY OF STATE","LIBERTARIAN","","","STATEWIDE PARTISAN",6,,100072565,"KYLE MARKLEY",11/10/2020 9:30:22 PM,1,34,0.0365198711063373,662/1333,
100043005,"SECRETARY OF STATE","PACIFIC GREEN, PROGRESSIVE","","","STATEWIDE PARTISAN",6,,100072492,"NATHALIE PARAVICINI",11/10/2020 9:30:22 PM,1,8,0.00859291084854995,662/1333,
100043005,"SECRETARY OF STATE","REPUBLICAN, INDEPENDENT","","","STATEWIDE PARTISAN",6,,100069234,"KIM THATCHER",11/10/2020 9:30:22 PM,1,678,0.728249194414608,662/1333,
100043006,"STATE TREASURER","","","","STATEWIDE PARTISAN",7,,9901,"Write-in",11/10/2020 9:30:22 PM,1,0,0,662/1333,
100043006,"STATE TREASURER","CONSTITUTION","","","STATEWIDE PARTISAN",7,,100072549,"MICHAEL P MARSH",11/10/2020 9:30:22 PM,1,38,0.0414394765539804,662/1333,
100043006,"STATE TREASURER","DEMOCRAT, WORKING FAMILIES","","","STATEWIDE PARTISAN",7,,300027642,"TOBIAS READ",11/10/2020 9:30:22 PM,1,216,0.235550708833152,662/1333,
100043006,"STATE TREASURER","INDEPENDENT, PROGRESSIVE, PACIFIC GREEN","","","STATEWIDE PARTISAN",7,,100072493,"CHRIS HENRY",11/10/2020 9:30:22 PM,1,29,0.0316248636859324,662/1333,
100043006,"STATE TREASURER","REPUBLICAN","","","STATEWIDE PARTISAN",7,,100066927,"JEFF GUDMAN",11/10/2020 9:30:22 PM,1,634,0.691384950926936,662/1333,
100043004,"ATTORNEY GENERAL","","","","STATEWIDE PARTISAN",8,,9901,"Write-in",11/10/2020 9:30:22 PM,1,4,0.0043525571273123,662/1333,
100043004,"ATTORNEY GENERAL","DEMOCRAT, INDEPENDENT, WORKING FAMILIES","","","STATEWIDE PARTISAN",8,,300021617,"ELLEN ROSENBLUM",11/10/2020 9:30:22 PM,1,230,0.250272034820457,662/1333,
