"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","United States President Democratic Party","Michael Bennet"," ","3","0.3268","Federal"
"Adams","United States President Democratic Party","Joseph R. Biden"," ","315","34.3137","Federal"
"Adams","United States President Democratic Party","Michael Bloomberg"," ","131","14.2702","Federal"
"Adams","United States President Democratic Party","Cory Booker"," ","0","0","Federal"
"Adams","United States President Democratic Party","Pete Buttigieg"," ","26","2.8322","Federal"
"Adams","United States President Democratic Party","John Delaney"," ","5","0.5447","Federal"
"Adams","United States President Democratic Party","Tulsi Gabbard"," ","11","1.1983","Federal"
"Adams","United States President Democratic Party","Amy Klobuchar"," ","24","2.6144","Federal"
"Adams","United States President Democratic Party","Deval Patrick"," ","1","0.1089","Federal"
"Adams","United States President Democratic Party","Bernie Sanders"," ","322","35.0763","Federal"
"Adams","United States President Democratic Party","Tom Steyer"," ","6","0.6536","Federal"
"Adams","United States President Democratic Party","Elizabeth Warren"," ","60","6.5359","Federal"
"Adams","United States President Democratic Party","Andrew Yang"," ","7","0.7625","Federal"
"Adams","United States President Democratic Party","Uncommitted Delegates"," ","7","0.7625","Federal"
"Adams","United States President Democratic Party","Write-in"," ","0","0","Federal"
"Adams","United States President Republican Party","Donald J. Trump"," ","1928","100","Federal"
"Adams","United States President Republican Party","Write-in"," ","0","0","Federal"
"Asotin","United States President Democratic Party","Michael Bennet"," ","4","0.1383","Federal"
"Asotin","United States President Democratic Party","Joseph R. Biden"," ","1148","39.6957","Federal"
"Asotin","United States President Democratic Party","Michael Bloomberg"," ","414","14.3154","Federal"
"Asotin","United States President Democratic Party","Cory Booker"," ","4","0.1383","Federal"
"Asotin","United States President Democratic Party","Pete Buttigieg"," ","177","6.1203","Federal"
"Asotin","United States President Democratic Party","John Delaney"," ","3","0.1037","Federal"
"Asotin","United States President Democratic Party","Tulsi Gabbard"," ","41","1.4177","Federal"
"Asotin","United States President Democratic Party","Amy Klobuchar"," ","91","3.1466","Federal"
"Asotin","United States President Democratic Party","Deval Patrick"," ","2","0.0692","Federal"
"Asotin","United States President Democratic Party","Bernie Sanders"," ","730","25.242","Federal"
"Asotin","United States President Democratic Party","Tom Steyer"," ","19","0.657","Federal"
"Asotin","United States President Democratic Party","Elizabeth Warren"," ","203","7.0194","Federal"
"Asotin","United States President Democratic Party","Andrew Yang"," ","20","0.6916","Federal"
"Asotin","United States President Democratic Party","Uncommitted Delegates"," ","28","0.9682","Federal"
"Asotin","United States President Democratic Party","Write-in"," ","8","0.2766","Federal"
"Asotin","United States President Republican Party","Donald J. Trump"," ","3771","98.6656","Federal"
"Asotin","United States President Republican Party","Write-in"," ","51","1.3344","Federal"
"Benton","United States President Democratic Party","Michael Bennet"," ","41","0.1774","Federal"
"Benton","United States President Democratic Party","Joseph R. Biden"," ","9003","38.9521","Federal"
"Benton","United States President Democratic Party","Michael Bloomberg"," ","2329","10.0766","Federal"
"Benton","United States President Democratic Party","Cory Booker"," ","31","0.1341","Federal"
"Benton","United States President Democratic Party","Pete Buttigieg"," ","1165","5.0405","Federal"
"Benton","United States President Democratic Party","John Delaney"," ","20","0.0865","Federal"
"Benton","United States President Democratic Party","Tulsi Gabbard"," ","343","1.484","Federal"
"Benton","United States President Democratic Party","Amy Klobuchar"," ","619","2.6781","Federal"
"Benton","United States President Democratic Party","Deval Patrick"," ","10","0.0433","Federal"
"Benton","United States President Democratic Party","Bernie Sanders"," ","7458","32.2676","Federal"
"Benton","United States President Democratic Party","Tom Steyer"," ","85","0.3678","Federal"
"Benton","United States President Democratic Party","Elizabeth Warren"," ","1654","7.1561","Federal"
"Benton","United States President Democratic Party","Andrew Yang"," ","121","0.5235","Federal"
"Benton","United States President Democratic Party","Uncommitted Delegates"," ","167","0.7225","Federal"
"Benton","United States President Democratic Party","Write-in"," ","67","0.2899","Federal"
"Benton","United States President Republican Party","Donald J. Trump"," ","27055","98.3389","Federal"
"Benton","United States President Republican Party","Write-in"," ","457","1.6611","Federal"
"Chelan","United States President Democratic Party","Michael Bennet"," ","29","0.2314","Federal"
